modismo,modelo,precision,recall,f1_score,definicion_real,definicion_sinonimo
achiote,Cohere_Command_R_08_2024,0.4858475923538208,0.405750036239624,0.44220098853111267,"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.",Organismo viviente autótrofo perteneciente al reino Plantae.
achiquitar,Cohere_Command_R_08_2024,0.47029513120651245,0.4878940284252167,0.4789329767227173,Hacer que algo sea más pequeño de lo normal.,"Reducir el tamaño de un objeto o prenda, por efecto del calor o uso."
achira,Cohere_Command_R_08_2024,0.6495328545570374,0.5462890863418579,0.5934540629386902,"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",Fruta con una corteza gruesa y carne comestible.
achucado,Cohere_Command_R_08_2024,0.6011167764663696,0.5820603966712952,0.5914350748062134,"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",Altamente influenciable o perjudicado por una circunstancia o agente externo.
achucarse,Cohere_Command_R_08_2024,0.5360265374183655,0.502558171749115,0.5187530517578125,"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.","Sentirse mal o enfermo, posiblemente por comer demasiado rápido."
achín,Cohere_Command_R_08_2024,0.42386874556541443,0.35680127143859863,0.387454092502594,"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",Nombre específico de un tipo de papa.
aco,Cohere_Command_R_08_2024,0.7957119941711426,0.7886431217193604,0.792161762714386,"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",Una mezcla líquida preparada con linaza tostada y panela.
acobalar,Cohere_Command_R_08_2024,0.5580542683601379,0.4768844246864319,0.5142862796783447,Devolver la simetría a algo que estaba torcido.,Restaurar o arreglar algo dañado para volver a utilizarlo.
acolitar,Cohere_Command_R_08_2024,0.7339889407157898,0.7455931305885315,0.739745557308197,Apoyar a una persona en algún proyecto o idea.,Dar respaldo o ayuda a una actividad o causa.
acomedirse,Cohere_Command_R_08_2024,0.6435569524765015,0.6452131271362305,0.64438396692276,Ofrecerse o ponerse al servicio de otro para hacer algo.,Hacer algo de forma voluntaria o generosa para ayudar a otro.
acondicionar,Cohere_Command_R_08_2024,0.584387481212616,0.5580819845199585,0.5709319114685059,"Modificar las características de algo, agregando un implemento que no es original.",Hacer las modificaciones necesarias para ajustar algo a una situación específica.
acordeonero,Cohere_Command_R_08_2024,0.6853758096694946,0.6521415114402771,0.6683458089828491,Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,Persona que interpreta y canta canciones utilizando el acordeón como instrumento principal.
acosón,Cohere_Command_R_08_2024,0.6289998888969421,0.6503216624259949,0.6394830942153931,"Referido a una persona, que acostumbra presionar a los demás.",Persona que se caracteriza por imponer normas y estándares altos a los demás.
acotejar,Cohere_Command_R_08_2024,0.5581557154655457,0.5497142672538757,0.5539028644561768,"Acomodar, disponer en orden una serie de objetos en un espacio o lugar","Acopiar, juntar o acumular elementos para un propósito específico."
acudiente,Cohere_Command_R_08_2024,0.578986406326294,0.5270692706108093,0.5518093705177307,"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",Persona que asiste a un lugar en representación de otra.
acuerpado,Cohere_Command_R_08_2024,0.45840880274772644,0.47652724385261536,0.467292457818985,"Referido a una persona, grande, robusta.",Que cuenta con una constitución física robusta y bien desarrollada.
aculillarse,Cohere_Command_R_08_2024,0.5067055821418762,0.46504566073417664,0.48498260974884033,Atemorizarse o acobardarse alguien ante una situación.,Quedarse en posición de rodillas.
acurrucarse,Cohere_Command_R_08_2024,0.47067347168922424,0.4634283781051636,0.4670228660106659,Ponerse en posición de cuclillas.,Acercarse a un lugar o cosa para buscar protección.
acusaletas,Cohere_Command_R_08_2024,0.6249635219573975,0.606264591217041,0.6154720783233643,"Referido a una persona, que tiene por costumbre acusar a otros.",Alguien que informa o delata a otros.
acusetas,Cohere_Command_R_08_2024,0.49233579635620117,0.4947398900985718,0.4935348927974701,"Referido a una persona, que tiene por costumbre acusar a otros.","Alguien que manifiesta dudas sobre algo o alguien, buscando pruebas."
acápite,Cohere_Command_R_08_2024,0.5940557718276978,0.5691502690315247,0.5813363194465637,"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.",Sector o sección específica dentro de un texto o tema.
aeróbicos,Cohere_Command_R_08_2024,0.5521100163459778,0.5462819933891296,0.5491805672645569,Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,Práctica de actividad aeróbica para mejorar la salud física.
afanar,Cohere_Command_R_08_2024,0.551523745059967,0.5603732466697693,0.5559132695198059,Preocuparse o angustiarse ante una situación.,"Actuar con prisa o impaciencia, sin seguir un ritmo calmado."
afiche,Cohere_Command_R_08_2024,0.5417261123657227,0.544484555721283,0.5431018471717834,"Cartel impreso con información, publicidad o contenidos decorativos.",Una hoja grande que se exhibe en pared o ventanas.
afiebrado,Cohere_Command_R_08_2024,0.6165434122085571,0.5685539841651917,0.5915770530700684,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",Muestra un gran interés y emoción por algo.
afiebrarse,Cohere_Command_R_08_2024,0.3316167891025543,0.42215293645858765,0.3714476227760315,Tener fiebre.,Aumentar la temperatura corporal por encima de lo habitual.
afilado,Cohere_Command_R_08_2024,0.4557156562805176,0.4566558599472046,0.4561852514743805,"Referido a una persona, bien preparada para una prueba o examen.",Con un nivel alto de preparación y conocimiento.
afilarse,Cohere_Command_R_08_2024,0.593658447265625,0.6041976809501648,0.5988816618919373,Prepararse para realizar adecuadamente una tarea.,Adquirir conocimientos y habilidades para estar listo para algo.
afirmativo,Cohere_Command_R_08_2024,0.48427096009254456,0.45308685302734375,0.4681602120399475,"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",Instrucción o mandato dado con autoridad y decisión.
aflojachocho,Cohere_Command_R_08_2024,0.4854417145252228,0.49037495255470276,0.4878958761692047,Bebida alcohólica que desinhibe el deseo sexual.,Fraser que denota tranquilidad o relajación.
aforar,Cohere_Command_R_08_2024,0.6827110052108765,0.6599156856536865,0.6711198091506958,"Referido al equipaje o a un producto, calcular su cantidad y su valor.",Estimar el valor o precio de un bien o servicio.
afrijolar,Cohere_Command_R_08_2024,0.35264456272125244,0.43865251541137695,0.3909743130207062,Propinar un golpe.,Realizar un impacto físico con la intención de causar daño.
afro,Cohere_Command_R_08_2024,0.7074735760688782,0.6741724014282227,0.6904217004776001,"Referido a una persona, que pertenece o que es propio de los afrocolombianos.","Que se refiere a la cultura, historia o origen de los africanos."
afugias,Cohere_Command_R_08_2024,0.39555779099464417,0.49351921677589417,0.4391416609287262,"Apuros, problemas, especialmente económicos.",Problemas o complicación significativa para lograr un objetivo.
agache,Cohere_Command_R_08_2024,0.49419233202934265,0.48406141996383667,0.4890744388103485,Evadir con astucia un problema o un asunto pendiente.,Sin prestar atención o cuidado a algo relevante.
agalla,Cohere_Command_R_08_2024,0.4208119511604309,0.41648876667022705,0.4186391830444336,Despertársele el afán de poseer más de algo o de adquirir riquezas.,Capacidad de focalizar y mantener la concentración en una tarea.
agalludo,Cohere_Command_R_08_2024,0.6334003210067749,0.5877062678337097,0.6096983551979065,"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",Referido a una persona o entidad que se caracteriza por su valentía y determinación.
agarrar,Cohere_Command_R_08_2024,0.626278281211853,0.6135292053222656,0.6198381781578064,"Obtener o conseguir algo, especialmente de manera veloz, ágil.",Actuar rápidamente para obtener una oportunidad o ventaja.
agarrón,Cohere_Command_R_08_2024,0.4211631715297699,0.44002145528793335,0.4303858280181885,"Altercado, riña muy fuerte o pelea a golpes.",Un evento o noticia que atrae mucha atención pública y genera comentarios o rumores.
agonía,Cohere_Command_R_08_2024,0.32750529050827026,0.42809122800827026,0.3711031675338745,Hambre.,"Sensación molesta en el estómago o intestinos, que provoca una necesidad inmediata de alivio."
agrieras,Cohere_Command_R_08_2024,0.5347413420677185,0.5651069283485413,0.5495049357414246,Acidez estomacal.,Afección digestiva que causa una sensación de ardor.
agringarse,Cohere_Command_R_08_2024,0.45541927218437195,0.3877459168434143,0.4188668727874756,Adoptar los hábitos o el aspecto propios de un gringo.,Adquirir características culturales y lingÃ¼Ã­sticas estadounidenses.
agrio,Cohere_Command_R_08_2024,0.5212435722351074,0.5563501715660095,0.5382249355316162,"Referido a una persona, de mal carácter.","Alguien que es serio y poco sociable, con un carácter difícil."
agripado,Cohere_Command_R_08_2024,0.4850024878978729,0.5206637978553772,0.5022009015083313,"Referido a una persona, enferma de gripa.",Una condición respiratoria caracterizada por congestión y dificultad para respirar.
agropecuario,Cohere_Command_R_08_2024,0.5473242402076721,0.5271845459938049,0.5370656251907349,"Referido a una persona, que tiene gustos grotescos, ordinaria.",Relacionado con el campo o la vida en zonas rurales.
agua,Cohere_Command_R_08_2024,0.49408626556396484,0.4693485498428345,0.481399804353714,Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.,La medida o presencia de agua en diferentes momentos.
