significado,modismo_original,amazon_nova_micro_v1,cohere_command_r_08_2024
Prepararse para realizar adecuadamente una tarea.,afilarse,"{""prompt_id"":""P3"",""input"":""Prepararse para realizar adecuadamente una tarea."",""output"":{""palabra"":""ponerse las pilas""}}","{""prompt_id"":""P3"",""input"":""Prepararse para realizar adecuadamente una tarea."",""output"":{""palabra"":""dar lo mejor""}}"
"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",afirmativo,"{""prompt_id"":""P3"",""input"":""Entre militares, policías y operadores de radio, sí, aceptado o confirmado."",""output"":{""palabra"":""aceptado""}}","{""prompt_id"":""P3"",""input"":""Entre militares, policías y operadores de radio, sí, aceptado o confirmado."",""output"":{""palabra"":""copiaste""}}"
Bebida alcohólica que desinhibe el deseo sexual.,aflojachocho,"{""prompt_id"":""P3"",""input"":""Bebida alcohólica que desinhibe el deseo sexual."",""output"":{""palabra"":""aguardiente""}}","{""prompt_id"":""P3"",""input"":""Bebida alcohólica que desinhibe el deseo sexual."",""output"":{""palabra"":""licor animoso""}}"
"Referido al equipaje o a un producto, calcular su cantidad y su valor.",aforar,"{""prompt_id"":""P3"",""input"":""Referido al equipaje o a un producto, calcular su cantidad y su valor."",""output"":{""palabra"":""hacer la cuenta""}}","{""prompt_id"":""P3"",""input"":""Referido al equipaje o a un producto, calcular su cantidad y su valor."",""output"":{""palabra"":""poner precio""}}"
"Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso.",afrechero,"{""prompt_id"":""P3"",""input"":""Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso."",""output"":{""palabra"":""tortuga""}}","{""prompt_id"":""P3"",""input"":""Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso."",""output"":{""palabra"":""gorrión norteño""}}"
Propinar un golpe.,afrijolar,"{""prompt_id"":""P3"",""input"":""Propinar un golpe."",""output"":{""palabra"":""dar un guanaco""}}","{""prompt_id"":""P3"",""input"":""Propinar un golpe."",""output"":{""palabra"":""dar un golpe""}}"
"Referido a una persona, que pertenece o que es propio de los afrocolombianos.",afro,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que pertenece o que es propio de los afrocolombianos."",""output"":{""palabra"":""afrocolombiano""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que pertenece o que es propio de los afrocolombianos."",""output"":{""palabra"":""de la cruz""}}"
"Apuros, problemas, especialmente económicos.",afugias,"{""prompt_id"":""P3"",""input"":""Apuros, problemas, especialmente económicos."",""output"":{""palabra"":""apurarse""}}","{""prompt_id"":""P3"",""input"":""Apuros, problemas, especialmente económicos."",""output"":{""palabra"":""pasar la línea""}}"
Evadir con astucia un problema o un asunto pendiente.,agache,"{""prompt_id"":""P3"",""input"":""Evadir con astucia un problema o un asunto pendiente."",""output"":{""palabra"":""dar la vuelta""}}","{""prompt_id"":""P3"",""input"":""Evadir con astucia un problema o un asunto pendiente."",""output"":{""palabra"":""salirse con la suya""}}"
Despertársele el afán de poseer más de algo o de adquirir riquezas.,agalla,"{""prompt_id"":""P3"",""input"":""Despertársele el afán de poseer más de algo o de adquirir riquezas."",""output"":{""palabra"":""tener ganas de más""}}","{""prompt_id"":""P3"",""input"":""Despertársele el afán de poseer más de algo o de adquirir riquezas."",""output"":{""palabra"":""le entró el hambre""}}"
"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",agalludo,"{""prompt_id"":""P3"",""input"":""Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo."",""output"":{""palabra"":""chupamedias""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo."",""output"":{""palabra"":""ser codicioso""}}"
"Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.",agapanto,"{""prompt_id"":""P3"",""input"":""Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible."",""output"":{""palabra"":""geranio""}}","{""prompt_id"":""P3"",""input"":""Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible."",""output"":{""palabra"":""corazón de jesús""}}"
"Obtener o conseguir algo, especialmente de manera veloz, ágil.",agarrar,"{""prompt_id"":""P3"",""input"":""Obtener o conseguir algo, especialmente de manera veloz, ágil."",""output"":{""palabra"":""pillar""}}","{""prompt_id"":""P3"",""input"":""Obtener o conseguir algo, especialmente de manera veloz, ágil."",""output"":{""palabra"":""canchar rápido""}}"
"Altercado, riña muy fuerte o pelea a golpes.",agarrón,"{""prompt_id"":""P3"",""input"":""Altercado, riña muy fuerte o pelea a golpes."",""output"":{""palabra"":""pelea a palos""}}","{""prompt_id"":""P3"",""input"":""Altercado, riña muy fuerte o pelea a golpes."",""output"":{""palabra"":""andar a cabezazos""}}"
Hambre.,agonía,"{""prompt_id"":""P3"",""input"":""Hambre."",""output"":{""palabra"":""tener hambre""}}","{""prompt_id"":""P3"",""input"":""Hambre."",""output"":{""palabra"":""tener roncha""}}"
Persona encargada de administrar y vigilar una propiedad rural.,agregado,"{""prompt_id"":""P3"",""input"":""Persona encargada de administrar y vigilar una propiedad rural."",""output"":{""palabra"":""guarda rural""}}","{""prompt_id"":""P3"",""input"":""Persona encargada de administrar y vigilar una propiedad rural."",""output"":{""palabra"":""mayordomo""}}"
Cerveza.,agria,"{""prompt_id"":""P3"",""input"":""Cerveza."",""output"":{""palabra"":""pilsen""}}","{""prompt_id"":""P3"",""input"":""Cerveza."",""output"":{""palabra"":""chela""}}"
Acidez estomacal.,agrieras,"{""prompt_id"":""P3"",""input"":""Acidez estomacal."",""output"":{""palabra"":""quemadura de estómago""}}","{""prompt_id"":""P3"",""input"":""Acidez estomacal."",""output"":{""palabra"":""mal de huevos""}}"
Adoptar los hábitos o el aspecto propios de un gringo.,agringarse,"{""prompt_id"":""P3"",""input"":""Adoptar los hábitos o el aspecto propios de un gringo."",""output"":{""palabra"":""ponerse gringo""}}","{""prompt_id"":""P3"",""input"":""Adoptar los hábitos o el aspecto propios de un gringo."",""output"":{""palabra"":""ser un gringo""}}"
"Referido a una persona, de mal carácter.",agrio,"{""prompt_id"":""P3"",""input"":""Referido a una persona, de mal carácter."",""output"":{""palabra"":""mala onda""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, de mal carácter."",""output"":{""palabra"":""mal genio""}}"
"Referido a una persona, enferma de gripa.",agripado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, enferma de gripa."",""output"":{""palabra"":""con la gripe""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, enferma de gripa."",""output"":{""palabra"":""estar mojado""}}"
Contagiarse y padecer de la gripa.,agriparse,"{""prompt_id"":""P3"",""input"":""Contagiarse y padecer de la gripa."",""output"":{""palabra"":""coger la gripe""}}","{""prompt_id"":""P3"",""input"":""Contagiarse y padecer de la gripa."",""output"":{""palabra"":""pillarse la gripa""}}"
"Referido a una persona, que tiene gustos grotescos, ordinaria.",agropecuario,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que tiene gustos grotescos, ordinaria."",""output"":{""palabra"":""chuzo de punta""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que tiene gustos grotescos, ordinaria."",""output"":{""palabra"":""de mal gusto""}}"
Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.,agua,"{""prompt_id"":""P3"",""input"":""Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables."",""output"":{""palabra"":""la temporada de lluvias""}}","{""prompt_id"":""P3"",""input"":""Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables."",""output"":{""palabra"":""invierno lluvioso""}}"
