modismo;significado;ejemplo;fuente
botilito;Recipiente pequeño, generalmente de plástico, que se usa para transportar líquidos.;Mantenga sus bebidas a la temperatura ideal con este práctico botilito plástico, con motivo de tu película animada favorita.;DICOL
bracero;Trabajador portuario que se ocupa del cargue y descargue de la mercancía de los contenedores.;Ha trabajado como bracero independiente del Terminal Marítimo de Buenaventura desde hace 30 años.;DICOL
bramadero;Poste clavado en el suelo que se usa para amarrar el ganado al que se va a amansar, herrar, curar o sacrificar.;La distancia entre el animal y el bramadero debe ser la indicada para dar seguridad al animal y al trabajador.;DICOL
brasier;Prenda interior femenina de tejido suave y elástico que sostiene el pecho.;Viene estrambóticamente vestida: Peinado, zarcillos, maquillaje, pulsera, anillos, vestido de tela transparente, sin brasier.;DICOL
bravero;Referido a una persona, propensa a discusiones y peleas.;El ministro, entre ingenuo, bravero y arrepentido, salió a defender el glifosato manual, pero no se cura el cáncer con aspirinas.;DICOL
braviar;Buscar pelea.;En otro punto, grupos de muchachos 'braviaron' a dos menores que procuraban entregar ordenadamente las correas que recibieron.;DICOL
bravo;Referido a una persona, enojada o disgustada.;Un pasajero a quien no pude llevar porque ya tenía otra carrera se puso bravo porque, según él, yo soy como los demás.;DICOL
brazo;Pastel dulce de masa blanda y esponjosa, de forma cilíndrica y enrollada, que se rellena de crema, mermelada y trozos de fruta.;Cuando vayas a la Villa de Guaduas, tómate un jugo de frutas en la Plaza Mayor, acompañado de un delicioso brazo de reina de los que allí se hornean.;DICOL
breva;Fruto del brevo, parecido a la pera, de pulpa suave y muy dulce.;Las brevas en almíbar con arequipe se han convertido en una de las bases de economías locales de municipios como Floridablanca, en el departamento de Santander.;DICOL
breve;Ser fácil de hacer.;Ese nuevo bailecito está breve. Sólo hay que doblar la espalda sacando cola y mover la cadera de lado a lado.;DICOL
brevo;Árbol que puede alcanzar hasta los 10 m de altura, de hojas grandes en forma de palmas, cuyo fruto es comestible.;Y en el patio de atrás un brevo y varias matas de mora.;DICOL
brilladora;Electrodoméstico compuesto por uno o varios cepillos redondos que giran a determinada velocidad para brillar el suelo.;Aplique una segunda capa de cera sobre el suelo, no pise, termine la operación pasando la brilladora.;DICOL
brincar;Protestar o reclamar por algo de manera airada, vehemente.;Cuando mis amigos sugirieron que dividiéramos en partes iguales, enseguida brinqué y dije que era mejor que cada uno pagara lo suyo.;DICOL
brinconear;Hacer travesuras, especialmente los niños.;Al ser un espíritu alejado del mundo real, sólo le importa ir fastidiando, brinconeando y cantando por ahí.;DICOL
brincón;Referido a una persona, inquieta, que es inconstante en la actividad que realiza.;Les cuento: ese Clemente es al que le dicen el loco y es muy brincón y tramposo, está en todo lado y no respeta a nadie.;DICOL
briqué;Pequeño encendedor de bolsillo con el que se encienden principalmente cigarrillos.;Cuando saqué el briqué y le prendí su cigarro me dijo, con una naturalidad casi perversa […].;DICOL
brisar;Lloviznar.;En Bahía Solano ya no está brisando, la temperatura ha aumentado casi dos grados y el sol se siente más.;DICOL
brocha;Persona de modales toscos, burdos.;No lo veía desde hace años y efectivamente con el tiempo el tipo es menos brocha que antes.;DICOL
bronquinoso;Referido a una persona, que es conflictiva e incita a la pelea por causas leves.;Recuerda también el maestro de música que había un acordeonero que era bronquinoso con el acordeón y que tan pronto supo que tenía contrincante se presentó para desafiarlo;DICOL
brotado;Referido al ojo, que está fuera de la órbita.;Por eso cuando el chofer del yip tocó la puerta de la casa y doña Midita quedó mirándole a sus ojos brotados, ella supo muy bien qué le había pasado a su marido.;DICOL
brotar;Sufrir una persona una reacción en la piel a causa del acné o de una alergia.;Cada persona debe estar atenta a si alguno de estos alimentos lo brota más y de esa forma disminuir su consumo.;DICOL
bruja;La que recorre los caminos solitarios en la noche para asustar a los caminantes o para borrar los caminos.;Uno habló de brujas tierreras, de esas que hacen el aquelarre el 2 de noviembre en los playones de San Carlos.;DICOL
brujear;Observar a escondidas una acción ajena.;Estaba del otro lado de una muralla y para poder ver me subía sobre la caleta para brujear y saludar a los compañeros.;DICOL
buchaca;Cada uno de los seis agujeros que tienen las mesas en que se juega uno de los tipos de billar.;Me gusta el billar, quita el estrés porque tiene su ciencia para saber cómo pegarle a una la bola para meter la otra en la buchaca.;DICOL
buchipluma;Referido a una persona, que presume de algo que no posee o de una capacidad que no tiene.;¿Hasta cuándo condecorar a buchiplumas que han hecho más apariencias que realidades, dejando de lado a verdaderos apóstoles en el servicio a sus conciudadanos?;DICOL
buchácara;Juego de billar que consiste en introducir 15 bolas numeradas en seis troneras o buchacas impulsadas por la bola denominada atacadora.;Acepté por fin la invitación de los compañeros a los billares. Me embirrié tanto con la buchacara y el ron que sentía una picazón en los brazos si no jugaba.;DICOL
buchón;Hierba acuática de hojas esponjosas que permiten la flotación, tallos horizontales, raíces filiformes y flores pequeñas de color blanco.;La elodea y el buchón son invasores recientes con un crecimiento y extensión rápida en varias de las lagunas del país.;DICOL
buchón, na;Barrigón.;El otro individuo, el buchón de la barbilla castaña, continuaba callado, sonriéndose, y tenía cara de divertirse hasta lo infinito con aquella charla exhibicionista de su querido colega.;DICOL
budare;Plancha circular de barro, piedra o de hierro que se usa para asar alimentos como la arepa y el casabe.;Un producto derivado de la yuca es la fariña, que se obtiene al revolver continuamente la harina mientras se tuesta en el budare.;DICOL
buenamente;Inútilmente o innecesariamente;Buenamente fui a verte, mejor me hubiera quedado en mi casa.;DICOL
buenamoza;Ictericia o coloración amarillenta de la piel y las mucosas, producida por malestares hepáticos.;¡Tiene buenamoza! Grito de guerra que producía pánico en los hogares, debido al manejo estricto y hoy considerado absurdo, de los pacientes con hepatitis.;DICOL
buenavida;Persona que disfruta vivir bien y sin preocupaciones.;Si usted es una viajera que cree sabérselas todas y además se considera una buenavida de tiempo completo, aplique a la última perla de los cruceros.;DICOL
bueno;Referido a una persona, atractiva, deseable.;Cuando lo vi me pareció que estaba bueno, pero de cerca me pareció común y corriente.;DICOL
buenón;Referido a una persona, atractiva, deseable.;Este jugador caleño, buenón, es considerado el hombre más sexy y más interesante de la Selección.;DICOL
bufeo;Delfín de agua dulce, de hasta 3 m de longitud, con coloración que varía desde el gris azulado hasta el rosado, hocico largo y estrecho, ojos pequeños y la aleta dorsal muy poco desarrollada.;A lo largo del Amazonas existen dos especies de delfines, los sotalia fluviatilis y los inia geofrensis. El primero es conocido por los indígenas como tucuxi y el segundo como bufeo.;DICOL
buganvil;Arbusto trepador, de hasta 15 m de altura, de ramas leñosas con espinas, con abundantes flores de color rojo, violeta, blanco y fucsia.;El complemento ideal en los jardines de casas coloniales se logra con árboles como el alcaparro (que da flores amarillas), el buganvil (que no puede faltar) y la acacia morada, especie que ha sido rescatada del olvido.;DICOL
buitrón;Conducto por donde sale el humo de un horno o chimenea.;Un olor matinal a agua de rosas o a manzanas, se esconde detrás del humo que se resiste a irse enteramente por el buitrón.;DICOL
bulla;Crear falsas expectativas.;¿Acaso las advertencias sobre la eliminación de la visa para ir a España eran pura bulla?;DICOL
bullaranga;Desorden, bulla persistente.;Se hicieron cada vez más lejanos los gritos de los pájaros y la bullaranga de los monos, y el mundo se volvió triste para siempre.;DICOL
bullerengue;Baile ejecutado por mujeres al ritmo de palmas, acompañada de tambores y canto coral.;El bullerengue se baila y se canta a través de la sensualidad de la mujer.;DICOL
bulloso;Referido a una persona o a un lugar, ruidosos, escandalosos.;Un fallo dejó mudo a bulloso campo de tejo.;DICOL
bullugo;Cantidad de dinero que sobresale del bolsillo.;Creo que va para el banco porque lleva un bullugo en el bolsillo;DICOL
bulto;Unidad de medida equivalente a cien libras.;En la plaza de mercado, en medio de bultos de papa y cajas de tomate, siete bailarines europeos desplazaron a los vallenatos, la cumbia y la música carrilera.;DICOL
burletero;Referido a una persona, que le gusta burlarse de los demás.;Más adelante me convertí en una adolescente rumbera, contestataria, burletera e indisciplinada.;DICOL
burra;Bicicleta.;En el trabajo de restauración, la familia aprende, comparte, investiga, se moviliza, y claro, restaura ‘burras’ (bicicletas) de manera conjunta.;DICOL
burrero;Persona que tiene relaciones sexuales con burros.;En clave siquiátrica, ser burrero es una zoofilia, la cual a su vez es una parafilia, que consiste en la atracción sexual hacia animales.;DICOL
burro;Apresurarse.;Vamos tarde, puya el burro.;DICOL
burundanga;Droga que actúa rápidamente sobre el cerebro y produce pérdida de memoria y la voluntad, que se le da a una persona para robarle.;Bajo ninguna circunstancia le reciba tragos a personas desconocidas, ya que estos pueden contener escopolamina (burundanga) y usted puede ser víctima de atraco.;DICOL
burusa;Porción pequeña de un alimento.;Pasé como una semana, quizás dos, sin comer nadita. Ni una burusa de arepa, tan siquiera.;DICOL
bus;Dejar de participar en una actividad o proyecto, por sugerencia de alguien o por dificultad para hacerlo.;La otra posibilidad, muy remota pero existente, es que ante tan poco apoyo decida bajarse del bus y no presentar su nombre para la reelección.;DICOL
buscaniguas;Artefacto pirotécnico en forma de cohete sin varilla que cuando se lanza estalla a ras de piso.;Del 16 de diciembre en adelante íbamos de novena en novena dedicados a estallar totes, encender volcanes, echar a andar buscaniguas y lanzar voladores.;DICOL
buscapiés;Artefacto pirotécnico en forma de cohete sin varilla que cuando se lanza estalla a ras de piso.;Los buscapiés siguen sembrando el desorden, la molestia y el peligro en Cartagena, como rezago de una costumbre muy ligada a las festividades novembrinas.;DICOL
buscapleitos;Persona que causa peleas y discusiones.;"Ventura se enamoró siendo él un azaroso y malafamado mocetón; fornido, enérgico, buscapleitos, pero valiente.";DICOL
buseta;Vehículo de transporte público de menor tamaño que el bus.;Se dirige hacia el sur, atraviesa la calle diecinueve y coge una buseta que anuncia un recorrido por la parte alta del centro de la ciudad.;DICOL
buseto;Bus.;No, no, estoy pelada, no sé por qué no lo pensé, anoche rumbié mucho y no tengo para el buseto, me toca irme a pie.;DICOL
bustona;Referido a una mujer, que tiene el busto grande.;Veía a todo el mundo con senos grandes, mis compañeras eran más bustonas y yo era muy delgada y vivía un poco acomplejada con eso.;DICOL
butaca;Asiento individual, sin espaldar ni brazos, de poca altura y generalmente de madera.;Volvía a sentarse en su butaca al pie de la ventana, con la luz insuficiente que venía de una lámpara en la calle.;DICOL
butatón;Hinchazón que se produce al golpearse en alguna parte del cuerpo.;Salí corriendo para subirme en el bus pero me caí y me hice un butatón enorme en la pierna.;DICOL
butifarra;Embutido de carne de res y cerdo condimentada con ajo, sal, pimienta y comino.;Los soledeños y todos los atlanticenses degustaron este embutido. Más de veinte expendedores ofrecieron en la plaza las mejores butifarras acompañadas de bollo e yuca y limón.;DICOL
buziraco;El diablo.;El Diablo allí se hacía llamar Buziraco y venía de visita a las frenéticas fiestas que se celebraban en su honor;DICOL
buzo;Prenda de vestir, generalmente de lana, que cubre el torso, cerrada, con mangas y el cuello alto.;El desconocido era de unos 60 años de edad y vestía camisa blanca, buzo verde, pantalón gris y saco marrón.;DICOL
buñuelo;Masa suave y redonda que se prepara con harina de maíz, queso, huevo y se frita en aceite muy caliente.;Si vas a tener invitados en las novenas, de seguro están ilusionados con comer aunque sea un buñuelo acompañado de natilla.;DICOL
béisbol;Deporte entre equipos de nueve jugadores en el que, luego de batear la pelota, deben recorrer cuatro bases de un campo cuadrangular llamado diamante.;Colombia conquistó el título del XIII torneo suramericano de béisbol, categoría mayores, al vencer 6-4 a Brasil.;DICOL
bómper;Pieza del automóvil situada en la parte delantera y trasera que sirve para amortiguar los golpes.;Se conserva la seguridad y durabilidad de los bómperes, elementos de gran importancia en caso de colisión o golpes leves.;DICOL
bóveda;En algunos cementerios, cavidad construida dentro de una pared en la cual se depositan los féretros.;En una bóveda del cementerio de Zapayán, Magdalena, cubierta con flores y ornamentada con elementos propios del ritual fúnebre, no había cadáver alguno.;DICOL
bóxer;Prenda interior, generalmente masculina, que va desde la cintura hasta un poco más abajo de las ingles.;Los bóxers son perfectos para hacer ejercicio, dormir o pasar el día.;DICOL
búcaro;Árbol que alcanza los 35 m de altura, con flores rojo-anaranjadas y fruto leguminoso, y crece en climas templados o calientes.;El búcaro, árbol de flor naranja y por el cual la ciudad [Bucaramanga] se supone fue bautizada, está en vía de extinción en Santander.;DICOL
cabalidad;Completamente, de manera adecuada o tal como se había acordado.;Superintendencia de Notariado y Registro sigue cumpliendo a cabalidad directiva presidencial sobre austeridad en el gasto.;DICOL
caballete;En gimnasia, aparato de cuatro patas que sostienen un paralelepípedo forrado en cuero u otro material.;La mexicana García y la colombiana Escobar ganaron plata y bronce en salto de caballete.;DICOL
caballito;Bicicleta.;Semana dedicada a ciclistas y su caballito de acero.;DICOL
caballote;Mujer atractiva, alta y grande.;Esta mujer es lo que muchos llaman un mujerón o un caballote, es una mujer alta con buena cola, senos grandes, la cara es bonita a secas.;DICOL
cabecear;Dudar o pensar mucho para tomar una decisión.;No sé si sea conveniente. Desde ayer me tiene cabeceando la firma de ese negocio.;DICOL
cabecera;Para algunos pueblos nativos de la Amazonía colombiana, el occidente, el punto cardinal en el que ubican el nacimiento de los ríos y quebradas en este territorio.;Los Carijona si vinieron por el río Yarí, allá por la cabecera por donde tienen su nacimiento varios grupos de ellos.;DICOL
cabecinegro;Palma que crece de 5 a 10 m, tallo de color café, hojas grandes dentadas, flor envuelta en una especie de hoja fibrosa café oscuro y frutos esféricos.;Una palma puede dar un corte de diez cápsulas, obteniendo un cabecinegro de cada una de ellas.;DICOL
cabecipelado;Referido a una persona, calvo o con muy poco pelo.;Podemos comprobar que la mayor parte de los científicos son cabecipelados, con la notable excepción de Einstein.;DICOL
cabecizoco;Referido a una persona, calva.;Ese muchacho tan joven y ya está cabecizoco.;DICOL
cabello;Tipo de fideos cortos y delgados usados para preparar sopas o mezclados con el arroz.;Por su grosor y su textura el cabello de ángel es ideal para las recetas con caldo.;DICOL
cabestrear;Guiar a un animal de un sitio a otro por medio del cabestro.;En la pista, ninguna otra persona puede cabestrear o montar el caballo una vez se ha iniciado la competencia bajo pena de descalificación.;DICOL
cabestrillo;Lazo amarrado a la cabeza o al cuello de los caballos o de otros animales para conducirlos o asegurarlos.;En 'equinoterapia' al caballo lo lleva alguien de cabestrillo, mientras sobre su lomo van montados un paciente y a veces su terapeuta.;DICOL
cabestro;Cuerda que se amarra a la jáquima de una bestia y la punta se lleva en la mano para conducirlo a algún sitio.;Los demás vaqueros conducían sus bestias de cabestro, hasta una enramada.;DICOL
cabeza;Plato que se prepara con plátano triturado y mezclado con cebolla, ajo, tomate y manteca de cerdo.;El cabeza de gato es una de las recetas más populares y de uso más frecuente en Cartagena con un buen pedazo de queso.;DICOL
cabezal;Conjunto de cuerdas o correas que se colocan alrededor del hocico y la cabeza de los caballos y otros animales.;El director del festival explicó que los dueños deben traer a sus burros con enjalma y cabezal.;DICOL
cabezazo;Idea u ocurrencia brillante y oportuna.;Fue mi tío quien se echó el cabezazo de salir tarde para gastar menos tiempo que la mayoría que madruga y congestiona las vías.;DICOL
cabezón;Referido a una persona, muy preocupada por algo.;"Sus anuncios y predicciones me tenían cabezón; pasó el eclipse y los agoreros volvieron a quedar en ridículo.";DICOL
cabildo;Concejo de los líderes y las máximas autoridades de una comunidad indígena.;El cabildo es la unidad básica de gobierno indígena en el departamento del Cauca.;DICOL
cabinero;Persona encargada de atender a los pasajeros y la tripulación durante un vuelo.;En 1947 se graduó del Colegio y después de trabajar como cabinero de aerolíneas por algunos años, asistió, en 1954, a seminarios de fotografía en Estados Unidos.;DICOL
cabra;En el dominó, ficha que se juega de manera equivocada involuntariamente.;Este doble cinco es una cabra, toca repetir el juego.;DICOL
cabreado;Referido a una persona, recelosa, escéptica.;Más allá de la derrota, a mí me gustó el equipo. Estoy 'cabreado' por esta situación, pero no voy a cambiar la nómina.;DICOL
cabrearse;Sentir desconfianza por alguien o alguna situación.;Ese señor se cabrea todo cuando me ve, parece que duda de mí.;DICOL
cabrito;Forma de preparar el pescado bocachico, relleno de verduras sofritas, se envuelve en hojas de bijao, se amarra con pita y se asa al carbón.;Barranquillero que se respete ha tenido que probar el bocachico en cabrito, frito, en viuda, en sancocho, sudado, en guiso.;DICOL
cabuco;Referido a una persona, hijo de un indígena y de un blanco.;El nativo y el colono se sienten, orgullosos de hacerte crecer, pues no en vano unieron su sangre y al cabuco un día vieron nacer.;DICOL
cabuya;Planta de hojas gruesas y carnosas que parecen pencas, cuya fibra se utiliza en la industrial textil.;Se ha comprobado que la cabuya es una planta protectora del suelo y rehabilitadora de las tierras.;DICOL
cacao;En el ámbito político o empresarial, persona adinerada y con grandes influencias sobre la dirigencia de un país.;Siempre, en todos los gobiernos, tres o cuatro cacaos han tenido el privilegio de llegar al palacio presidencial para tumbar todo lo que les perjudique.;DICOL
cacha;De ninguna manera.;¡Las cachas! Nunca le voy a pagar lo que no le debo.;DICOL
cachacero;Referido a una persona, que consume frecuentemenete cachaza u otras bebidas embriagantes.;Era una mujer divertida, le gustaba la fiesta y era cachacera.;DICOL
cachaco;Referido a una persona o algo, que procede de las familias tradicionales de Bogotá y que se distingue por su dicción o sus maneras particulares de comportarse.;"Claro, que por muy cachacas que sean las onces, nos toca ponerles la cuota costeña; que además la disfrutan: en este caso, el bollolimpio.";DICOL
cachaloa;Prostituta.;Porque cachaloa es un término para definir ofensivamente a una mujer que como allí dicen, va de mano en mano.;DICOL
cachapa;Tipo de arepa elaborada con maíz tierno, y que se sirve generalmente rellena de queso fresco.;En los pueblos del departamento del Casanare, el sancocho de costilla, la mamona, las hayacas y las cachapas, son muestras de la gastronomía de los llanos.;DICOL
cachar;En el beisbol y deportes similares, jugar de receptor.;El nuevo integrante del equipo tenía buenos reflejos, buena comunicación con el lanzador, era ideal para cachar.;DICOL
cacharrear;Tratar de arreglar, armar o usar algún aparato o programa informático sin ser un profesional en el oficio.;Tenía una moto y la cacharreaba, pero cuando tuve la oportunidad de capacitarme, me interesé mucho más.;DICOL
cacharrero;Persona a la que le gusta arreglar, armar, usar o experimentar con aparatos o programas informáticos sin ser profesional en el oficio.;Su papá, un cacharrero incansable, decidió iniciarlo en la mecánica, desbaratando el viejo automóvil de la familia.;DICOL
cacharro;Automóvil viejo, deteriorado y que funciona mal.;"No es un cacharro; es un carro antiguo pero bien mantenido.";DICOL
cachaza;Licor destilado de la caña de azúcar.;Además de la cachaza, la pócima contra el resfriado incluía dientes de ajo y miel.;DICOL
cachazo;Golpe que se da utilizando la chacha de un revólver o pistola.;Los retenidos manifestaron que los golpes en la cabeza eran cachazos que habían recibido.;DICOL
cachetear;Dar un golpe en la cara de alguien con la mano abierta.;Dios tengo tanta ira que si la tuviera en frente hasta la cacheteaba por insolente.;DICOL
cachetero;Sinvergüenza, que busca comer y beber a expensas de otros.;Yo creo que él era el cachetero número uno de Cali y elegante porque solo te cacheteaba whisky.;DICOL
cachezudo;Fino, con mucha distinción o elegancia.;Hay dos hoteles en la ciudad, uno cinco estrellas y otro no tan cachezudo pero también bastante bueno.;DICOL
cachicado;Referido al cabello, trasquilado o disparejo.;¿Alguna vez no ha salido cachicado de la peluquería?;DICOL
cachicamo;Mamífero del orden de los desdentados, de hasta 43 cm de largo sin la cola y piel cubierta por un caparazón que protege el dorso y los costados de su cuerpo.;El caparazón del cachicamo, un armadillo grande típico del llano, inspiró los pliegues de la camisa, a la que también denominan cachicamita.;DICOL
cachicar;Cortar de forma dispareja el cabello.;Te cachicaste el cabello, como te lo vas a cortas vos sola.;DICOL
cachichí;Hacer trampa o engañar.;Con ciertos proyectos los curadores hacen cachichí y la ciudad pierde valor afectando el patrimonio de todos.;DICOL
cachifa;Empleada del servicio doméstico.;Sí, desde jovencita veía a los del sur de La Guajira emigrar a la tierra del petróleo, a trabajar en materas (fincas), y las mujeres de cachifas (muchachas del servicio).;DICOL
cachifo;Persona joven, adolescente.;No se justifica que cerca de 400 mil personas estemos de rehenes de unos cachifos que se presentan como hinchas de una agrupación futbolística opaca e intrascendente.;DICOL
cachiporro;A mediados del siglo xx, miembro o simpatizante del Partido Liberal colombiano.;Mi abuelo Carlos era un gocetas liberal en cuya casona tenía un cuarto misterioso, tierra de nadie, para esconder cachiporros durante La Violencia.;DICOL
cachirre;Reptil muy parecido al cocodrilo, de hocico ancho y cola larga cuya carne es comestible y su piel es aprovechada para la industria.;El cachirre este se encuentra en la Orinoquia este es uno de los animales más amenazados del meta por causa de la caza excesiva, la transformación de su habitad.;DICOL
cachitanta;Arepa delgada de maíz blanco molido, acompañante de guisos y sopas.;Masa fritas, cachitantas para el hijo de María / san José no tiene abrigos tampoco techo y comida.;DICOL
cachivera;Trayecto de un río en el que el caudal fluye con violencia por el estrechamiento o la inclinación de su cauce.;El güío agotado tras más de dos semanas de persecución, fue capturado en la cachivera Ipanoré, en el Brasil.;DICOL
cacho;Cuerno o asta de un animal.;El paisa salió empuñando un arma y ahí lo vio, era Belcebú mismo, con cachos de toro, el cuerpo negro, la lengua de vaca desparramándose por el hueco que era su boca.;DICOL
cachona;Guitarra.;Tráeme la cachona que tengo ganas de cantar, y acompañado de sus cuerdas no vamos a parar.;DICOL
cachonear;Referido a una persona, ser infiel a su pareja.;En la telenovela de la noche a Nicolás, tras cachonearlo su novia con el jefe rico y despiadado, se le han perdido hasta las ganas de vivir.;DICOL
cachucha;Gorra de tela u otro material con visera para proteger la cara del sol.;Caminen y yo les presto unas cachuchas, que el sol allá es bien bravo.;DICOL
cachumbo;Mechón de pelo crespo con forma de espiral.;Usa anillo de plata, fuma Dandy, el sombrero hacia atrás, la frente orlada, de cachumbo teñido y entrecano, muy teñido el bigote y pañuelo de seda en el cogote.;DICOL
caché;Referido a una cosa o actividad, ser muy bueno y de calidad.;Ella se quedó extasiada mirando la lamparita recientemente adquirida en una tienda de caché, de esas que cobraban por solo mirar.;DICOL
cachín;Arepa aplanada, de maíz blanco molido, queso, sal y azúcar, asada en horno de leña.;En las navidades de antaño, la cachín estaba en todas las mesas, siempre recién asada en el fogón de leña.;DICOL
cachón;Referido a un animal, de cuernos largos o grandes.;Este domingo la ruta es hacia Mulaló en el IV festival turístico, IV reinado del chivo cachón y III festival del mecato.;DICOL
cacorro;Tanque pequeño que se porta en la espalda y contiene plaguicidas preparados para fumigar un terreno antes de cultivarlo.;El 76,5% (88 individuos) utilizan la bomba de espalda o 'cacorro', y el 23,5% restante (27 individuos) emplean la bomba estacionaria.;DICOL
cacota;Cáscaras o residuos que quedan después del proceso de despulpar el café.;Están desarrollando un estudio de factibilidad del uso de centrales a gas utilizando como recurso la cacota del café.;DICOL
cacreco;Referido a una persona, envejecida que padece achaques.;Me hago el dormido para no darle el puesto al viejito cacreco que se acaba de subir.;DICOL
cadena;Fondo de ahorro sin reconocimiento jurídico en que cada aportante entrega periódicamente cuotas fijas de dinero, y cuyo recaudo se entrega por turnos y por sorteo a uno de los ahorradores.;Nadie sabe, ni se podrá saber, cuántas personas participan en las llamadas cadenas de ahorro privado y los fondos de amigos, que en algunas regiones llaman natilleras.;DICOL
caderón;Referido a una persona, con caderas prominentes, especialmente las mujeres.;Cuanto más caderona seas, más bota ancha debes usar, pues por contraste tu cadera se verá más delgada.;DICOL
cadillo;Planta herbácea de hojas opuestas y pecioladas, flores de pétalos blancos con centro amarillo, semillas que se adhieren fácilmente a la ropa, de uso medicinal y como forraje.;El cadillo es de uso terapéutico tradicional, tiene 27 propiedades medicinales.;DICOL
cadmia;"Árbol que alcanza los 15 m, de flores fragantes de color amarillo verdoso, hojas simples alternas, su madera es fibrosa y poco durable; de uso ornamental de parques y avenidas.";Recorrer las calles sombreadas y perfumadas por sus cadmias con un clima aliviado por el viento de la tarde es, definitivamente, un gran placer.;DICOL
caedizo;Techo que sobresale de la pared.;Se realizó un mejoramiento en las instalaciones de la Casa de Cultura, con el objeto de conservar instrumentos y se hizo el caidizo (techo) del portón Principal.;DICOL
caer;Llegar a un sitio a cumplir una cita o a visitar a alguien.;Sé que saldrás temprano, así que te caemos al apartamento para celebrar, y tomarnos un trago con la familia.;DICOL
cafetero;Relacionado con el café o su cultivo.;Desde hace 10 años se vienen incrementando las áreas cafeteras en el departamento, de tal manera que el Huila lideró a nivel nacional el programa de renovación de cultivos.;DICOL
cafongo;Bollo típico de Sucre, envuelto en hojas de plátano, que se prepara con maíz, leche, panela, queso y suero, combinado con canela, clavo y pimienta picante, que se cocina al vapor.;Sucre mostrará toda la variedad de amasijos como el bollo de coco, bollo de batata, el cafongo y muchas delicias de la comida tradicional sucreña.;DICOL
cafuche;Nombre común para varias especies de cerdo salvaje americano, de hasta 80 cm de altura y sin cola, piel con cerdas largas y fuertes y con colmillos poderosos.;El gringo, quien había salido de cacería, cuenta que vio un bulto debajo de unas hojas, que al parecer era un cafuche, por lo cual levantó el rifle y disparó.;DICOL
café;Variedad del arbusto de café que no alcanza mucha altura.;En nuestro Eje Cafetero con el establecimiento de la variedad de café caturro se introdujo un modelo tecnológico que impulsaba los cafetales de libre exposición a la luz solar.;DICOL
caga;Pez de color amarillo, vientre abultado y sobresaliente, que se alimenta de excrementos y su consumo se considera vergonzoso.;Otro 17% distribuido en 4 especies (caga, guacuco, sardina rabicolorada, dentón) presenta valores de mercurio total por debajo de los estándares.;DICOL
cagadero;Lugar feo, desagradable.;Entiendo que a veces digo demasiadas groserías, pero la ciudad no es un gran vividero y está muy lejos de serlo. Es más bien un gran cagadero.;DICOL
cagar;Equivocarse o cometer una falta.;Esta edición que va dedicada a todos los hombres que cometieron un error, que la cagaron, pero que están dispuestos a pararse otra vez.;DICOL
cagarruta;Referido a algo o a alguien, especialmente un niño, que es pequeño.;Pobrecita, de niña había sido tan esmirriada y escurridiza que era toda una cagarruta, así de chiquita no más.;DICOL
caguana;Bebida ligeramente fermentada y de consistencia espesa que se prepara con almidón de yuca brava y se saboriza con alguna fruta.;A la entrada del mambeadero hay una caneca con caguana o simplemente con refresco que compran en la tienda.;DICOL
caguetas;Niño pequeño.;Así quedaba pilao estremecer la cuna para que el caguetas de turno, en ese vaivén hechizo, soñara con otros angelitos.;DICOL
cagá;Referido a un hombre, homosexual.;Dicen que ese cantante es cagá, lo vieron con su novio en un hotel.;DICOL
cagón;Niño pequeño.;De los cagones que esa familia tenía, el más grande apenas tenía diez años y el menor dos añitos.;DICOL
cagüinga;Utensilio de madera con un mango de aproximadamente 2 m y una espátula de unos 20 cm de diámetro, usada para revolver dulces.;Y debe mecérselo todo el tiempo con cagüinga, que es una larga cuchara de madera, hasta que coja su punto.;DICOL
cagüingo;Persona sin importancia o que no tiene relevancia en una situación.;La tiendita que teníamos en el pueblo tuvo que cerrarse porque sólo venían unos cagüingos desocupados y muy poco cliente de verdad interesado.;DICOL
caimacán;Persona con autoridad o liderazgo.;"Tocaron el agua bendita y ocuparon puesto en el recinto; pero al jefe o gran caimacán lo condujeron al presbiterio, donde le tenían preparado asiento de distinción.";DICOL
caimanear;Referido a un conductor, trabajar reemplazando por días a otros conductores de bus.;Cuando el conductor amanecía ebrio, dejaba ´caimanear' el bus a Lucas, labor que él hacía con mucho juicio y prudencia.;DICOL
caimarón;Árbol de hasta 15 m de alto, de tronco leñoso, recto, gris y poco ramificado, con grandes hojas simples, alternas, y profundamente lobuladas, inflorescencia blanca y fruto comestible.;Los árboles de caimarón también le servían de lecho y prefería el Caimarón hembra por la enorme sombra que daba y sus deliciosos frutos.;DICOL
caimo;Árbol que alcanza los 30 m de altura, tronco con corteza grisácea que presenta un látex blanco sin sabor, hojas moradas helicoidales al madurar se tornan verde amarillento, baya redonda comestible, de uso maderable y medicinal.;La fibra enseguida se sumerge en barro negro de las miras, el cual ha recibido previamente un tratamiento con hojas de caimito morado.;DICOL
caja;Dentadura postiza.;La cumpleañera sopló tan fuerte para apagar las velitas, que su caja de dientes no resistió tanta energía y salió disparada de su boca.;DICOL
cajeta;Molde de aluminio en el que se acomodan los amasijos para hornearlos.;¿Ya engrasaste la cajeta? Voy a armar los bizcochuelos y necesito tener listo en qué hornearlos.;DICOL
