modismo;significado;ejemplo;fuente
champetudo;Referido a una persona, soez, grosera.;;DICOL
champurrear;Lavar la ropa en el río.;El sábado champurrié unos chiritos y cuando extendí, se me fue el jabón al río.;DICOL
champán;Embarcación grande de río, plana, construida de un solo tronco con capacidad para unos quince pasajeros, con cubierta en el centro para proteger la carga.;;DICOL
champú;Volverse loco alguien o perder el control de sí mismo.;Se le corrió el champú. Joven se tatúa el nombre de su novio en el rostro, sólo 24 horas después de conocerlo.;DICOL
champú;Darse un gusto o un lujo una persona.;Me di un champú de sancocho, que quedé lleno. No creo que coma en la noche.;DICOL
champús;Bebida elaborada con maíz cocido, azúcar o panela, jugo y trozos de lulo y de piña, y canela.;El champús es una bebida fría, típica del Valle, que suele acompañarse con empanaditas de pipián.;DICOL
chamuscón;Pequeña quemadura de la parte externa o superficial.;El 9 de abril de 1948, fueron quemados los tranvías de Bogotá por la muerte del doctor Gaitán, pero los buses de las empresas privadas no sufrieron ni un modesto chamuscón.;DICOL
chamón;Ave de cuerpo negro en los machos y en las hembras, grisáceo, de pico corto cónico, recoge el alimento del suelo y no construye sus nidos.;El chamón es un ave parásita de cría, que en lugar de críar sus propios polluelos, pone sus huevos en los nidos de otros pájaros.;DICOL
chamón, na;Persona de piel muy negra.;Ella, blanca como el día, se casará con ese chamón.;DICOL
chancaca;Dulce hecho con panela y coco.;Cada vez que veo un dulce de coco me acuerdo de la incomparable chancaca que las morenas de Buenaventura pasaban vendiendo por la calle: chancaca y mazamorra, gritaban.;DICOL
chancancarina;Golosina hecha a base de harina de maíz o arroz tostado, mezclado con azúcar.;En medio de la golosa, el yoyo, la chancancarina y el raspao, el evento sacó a flote el niño interior de los asistentes.;DICOL
chance;Oportunidad de conseguir o lograr algo.;El choque comenzará a las 9 de la mañana y los dos conjuntos pugnan por quedarse con el único chance que les queda en su aspiración de llegar al título.;DICOL
chance;Juego de azar en el que se pagan las apuestas diarias cuyos números coinciden con los de la lotería.;El parlamentario presentará hoy a la Comisión Primera de la Cámara el proyecto de modificaciones a la reglamentación que regula las loterías y el juego del chance.;DICOL
chance;Transporte gratuito que se da en un vehículo a alguien.;En Cartagena, antes los buses daban chance.;DICOL
chancero;Persona que vende chance, juego de azar.;El chancero más exótico y conocido del centro de Bogotá, da la palmadita de la buena suerte cuando le entrega el chance a su comprador.;DICOL
chancho;Referido a una persona, muy gorda.;;DICOL
chancho;Cerdo, animal mamífero.;Nosotras creemos que nuestro paso por el mundo es para algo más que andar por ahí comiendo chanchitos y vaquitas que no le están haciendo mal a nadie.;DICOL
chancleta;Referido a un automóvil, oprimir el acelerador para aumentar la velocidad.;¡Métele la chancleta o vamos a llegar tarde!;DICOL
chancletear;Producir un golpeteo cuando se camina con chancletas.;;DICOL
chancletear;Referido a un vehículo, hundir varias veces el acelerador cuando tiene dificultades para encender.;Debo intentarlo nuevamente: le 'chancleteo' el acelerador y le doy encendido constante hasta que prende y ya no se vuelve a apagar.;DICOL
chancuco;Trampa o actividad ilegal que se realiza en un negocio o actividad.;En el periódico denunciaron el chancuco de la construcción de un muelle con materiales de segunda.;DICOL
chancuco;Papel escrito que se consulta de manera oculta durante una prueba o examen.;Ante el reto de hacer una audición frente a Alexis, se apareció hace 3 años con un 'chancuco' (copia de las canciones en una hoja) para lograr su ingreso en la agrupación.;DICOL
chancuco;Aguardiente casero de caña de azúcar sin refinar.;En Patía por especial se sacaba el chancuco / El material que se usaba el guarapo y la panela / Y eso era fermentado con paciencia y con cautela / Como enseres que se enfríaban, la olla para el guarapo.;DICOL
chancuquear;Hacer trampa o algo ilegal en una actividad.;Después de chancuquear que les levantaran la sanción del estadio daba pena no llenarlo.;DICOL
chancuquero;Persona que hace trampa en una actividad o negocio.;Los chancuqueros se valen de todas las artimañas tecnológicas, para que el profe no los coja.;DICOL
chanda;Perro que no es de raza y generalmente vive en la calle.;;DICOL
chanda;Objeto de mala calidad.;Eso te pasa por comprar chandas en los semáforos, ya no sirve la linterna.;DICOL
chandoso;Referido a un perro, que no es de raza y generalmente vive en la calle.;A mi sobrina le encanta recoger todos estos chandosos, bañarlos, alimentarlos y llevarlos a casas de adopción.;DICOL
chandé;Ritmo musical alegre y fiestero, se ejecuta con una tambora, un tambor, flautas de millo o gaitas y se acompaña de coplas y palmoteo.;Cantadora de chandé, baile cantao, Ramona Ruiz, una campesina aún vive en la vieja casa de palma y bahareque que la vio nacer.;DICOL
chandé;Danza de este ritmo.;El objetivo es que los foráneos hayan aprendido a bailar las cuatro expresiones de la tambora: chandé, berroche, guacherna y tambora redoblada.;DICOL
chanfaina;Plato que se prepara con vísceras de cordero con arroz mezclado con arveja, tomate, cebolla, ajo y pimentón.;;DICOL
chanfaina;Empleo.;A partir de enero me quedo sin chanfaina. Tengo que ponerme a buscar qué hacer.;DICOL
chanfle;Trayectoria curva del balón de fútbol por efecto del golpe dado por el jugador.;Sin embargo, el descuento manizalita no tardó en aparecer y fue a los 80’, cuando en un mal rechazo, el volante ‘bañó’ de chanfle al guardameta.;DICOL
changonguería;Falta de seriedad, burla, chanza.;Deja la changonguería y ponte a estudiar.;DICOL
changua;Caldo que se prepara con leche, sal, cilantro y cebolla.;;DICOL
changón;Arma de fuego de fabricación casera.;Igualmente se decomisaron tres revólveres, un changón y gran cantidad de armas blancas.;DICOL
chantar;Dar un golpe a alguien.;;DICOL
chantar;Ponerse una prenda de vestir.;Se dedicaron a esculcar en un clóset, donde hallaron quimonos y pantuflas que se chantaron como si fueran disfraces.;DICOL
chapa;Mecanismo metálico de una cerradura en el cual se pone la llave para abrir una puerta.;Los nuevos dueños cambiaron la chapa y se pasan el sábado.;DICOL
chapa;Dentadura postiza.;Las chapas son hechas generalmente por un técnico de laboratorio dental que trabaja de un modelo proporcionado por su dentista.;DICOL
chapalear;Referido a un animal, mover el cuerpo desesperadamente.;Desequilibrada y torpe chapaleaba la vaca en el pantano.;DICOL
chapalear;Luchar o protestar con ímpetu.;Deje a esos muchachos que sigan bravos, que mientras más chapaleen, menos les van a prestar atención.;DICOL
chaparro;"Árbol de hasta 6 m de altura, de tronco corto y fronda muy extendida, hojas con borde dentado, inflorecencias blancas o rosadas; muy usado en la medicina tradicional.";Para la artritis o el reumatismo en la región usamos el agua de chaparro o de mastranto.;DICOL
chapeado;Referido a una persona, que tiene las mejillas bien coloreadas.;Los [niños] preferidos eran los rellenitos, mofletudos y chapeados como campesinas paramunas.;DICOL
chaperón;Persona que acompaña a una pareja para vigilarla.;Tocaba el clavicordio en los bazares de caridad y asistía con una tía chaperona a los bailes más depurados de la timorata aristocracia local.;DICOL
chaperón;Mujer que acompaña y asesora a una candidata en un reinado.;;DICOL
chapetera;Borrachera.;"El Alexis se pegó tronco 'e champetera anoche; amaneció tirado en medio de la calle cerca a la muralla.";DICOL
chapeto;Referido a una persona, borracha.;Andaban chapetos de aquí para allá, gritando y riendo buscando lugar en dónde continuar la fiesta.;DICOL
chapil;Aguardiente artesanal.;Jóvenes, estudiantes, religiosos, integrantes de la Guardia Indígena, hicieron parte de la marcha Contra el chapil, que se realizó en Cumbal, sur de Nariño.;DICOL
chapola;Mariposa.;;DICOL
chapola;Planta de café cuando le salen las primeras hojas.;;DICOL
chapolera;Mujer recolectora de café.;Se le concedió el nombre chapolera [al reinado] en homenaje de las mujeres recolectoras que habitaron estas tierras.;DICOL
chapucear;Hablar una lengua extranjera con muchas limitaciones y errores notorios.;Habló directamente con Pedro en un inglés precario que ambos chapucearon en el teléfono.;DICOL
chapucear;Jugar en el agua.;;DICOL
chapucear;Nadar mal.;Emocionante ver tantos periodistas, aprovechando los momentos libres para chapucear en el mar o en la piscina.;DICOL
chapulín;Saltamontes verde con patas posteriores largas para saltar, tiene alas membranosas y se orienta en la oscuridad con sus finas antenas.;Los chapulines usan un mecanismo auditivo similar al de los mamíferos para escuchar.;DICOL
chapín;Referido a una persona, que tiene los pies torcidos hacia adentro.;Julio (Quevedo) era simpático por su dulzura y humildad de carácter y por su enfermedad natural, pues había nacido deforme de ambos pies. O chapín, como dicen en Colombia.;DICOL
chaquira;Semilla o pepita de varios colores que se emplea en la elaboración de collares.;En muchos colegios usan chaquiras de varios tamaños para ayudar a los niños a desarrollar su motricidad fina.;DICOL
chara;Sopa de cebada molida con espinazo y verduras.;Cuando las habas están tiernas, se echan a la ‘chara’.;DICOL
charamba;Horqueta de madera a cuyos extremos se sujetan las puntas de un caucho que, al estirarlo, sirve para lanzar piedras pequeñas u otros objetos.;Reconocido disparador de la charamba.;DICOL
charanga;Reunión familiar en la que se escucha música y se baila.;Boyacá como invitado de honor, ofrecerá a los asistentes una muestra de todo su folclor por medio de la Charanga típica de la región.;DICOL
charango;Instrumento musical de cuerda que consta de diez cuerdas organizadas en cinco grupos de dos cuerdas.;Al igual que la guitarra, el charango se emplea como instrumento de acompañamiento y como solista melódico.;DICOL
charapa;Tortuga de agua dulce de gran tamaño, caparazón aplanado de color café oscuro o negro, pecho plano de color amarillo pálido, cabeza negra y ojos prominentes.;En Colombia, ancestralmente las culturas indígenas tradicionales utilizaron la tortuga de agua dulce, charapa, como fuente de alimento.;DICOL
charco;Remanso de un río, donde la corriente se apacigua y es lenta.;Este río Tonusco tiene charcos naturales donde la comunidad realiza 'paseos de olla'.;DICOL
charola;Bandeja de metal u otro material que se usa para poner, llevar o recoger comida, platos, etc.;Esta vez un par de meseros se movían entre las filas con sus charolas mientras todos mirábamos los vasos tintineantes.;DICOL
charoso;Referido a una persona o animal, que tiene lagañas.;El gato charoso solo se la pasa durmiendo fuera de la casa.;DICOL
charoso;Referido a una persona, que se encuentra sucia por haberse regado la comida.;Se los mira, en fotografías, sucios y charosos, enruanados, levantando sus brazos con un sagaz ministro.;DICOL
charrasquear;Rasguear una guitarra u otro instrumento de cuerda.;El guitarrillo es ideal para comenzar a charrasquear y acompañar las rondas infantiles.;DICOL
charre;Pez de agua dulce que alcanza hasta 30 cm de largo, su piel es de apariencia platinada y brillante.;Reconocen que las fuentes de agua, les brinda productos de carácter piscícola como: charre, raya.;DICOL
charrera;Situación, obra o cosa inapropiada, aburrida, de mal gusto o digna de burla.;;DICOL
charrera;Dicho gracioso.;;DICOL
charro;Referido a una persona, aburrida.;;DICOL
charro;Referido a una persona o cosa, divertida, graciosa.;Siempre estaba contando chistes, haciendo bromas, era muy charra.;DICOL
charuco;Aguardiente casero de caña de azúcar sin refinar.;Le organizaron una fiesta, hubo sancocho de gallina, torta y mucho charuco, una bebida embriagante propia de la zona.;DICOL
chasquear;Hacer ruido con la boca al masticar cuando se está comiendo.;A mí una vez me llevaron donde una vecina que tenía un perro cuando estaba niño para que oyera al perro comer y me decían: “Hijo, eso es chasquear” y me quedó esa tara.;DICOL
chasís;Estructura metálica que soporta la carrocería de un vehículo.;Todo carro tiene marcados el motor y el chasís mediante plaquetas que tienen grabado un número de identificación único.;DICOL
chatarrización;Proceso de desintegración física de un vehículo automotor de servicio público.;Uno de sus mayores logros ha sido acelerar el proceso de chatarrización para sacar de circulación a los buses viejos, que contaminan la ciudad.;DICOL
chatas;Corte de carne del costillar de la res, usado principalmente para asar.;Existen cortes de carne que son ideales para asar cortes de cocción seca, como el lomito o las chatas.;DICOL
chato;Forma de tratamiento usada hace algunos años por los habitantes de Bogotá para saludar a sus amigos.;Alá chatica, ¿por qué no vienes a tomar onces hoy?;DICOL
chaucha;Papa morada, de contextura blanda.;;DICOL
chaza;Venta ambulante e informal de diversos productos alimenticios y de consumo.;A mí me gustaría ver la universidad sin ‘chazas’ porque es un espacio para liberarse, para salir de esa ciudad tan comprimida, tan estresante.;DICOL
chaza;Juego similar al tenis pero que se practica golpeando la pelota con la mano o con una raqueta forrada en cuero de chivo.;Me enganché un poco tarde, pero en casa, la chaza era una especie de tradición familiar: la jugaban mis tíos, mi padre y mi abuelo.;DICOL
chazo;Pieza corta y gruesa, generalmente de plástico, que se introduce en la pared para fijar algo usando un tornillo del mismo tamaño y diámetro.;;DICOL
checa;Pieza que cierra herméticamente las botellas, especialmente las de cerveza y gaseosa.;Además de tapa de gaseosa, la checa tiene entre nosotros múltiples usos, como: servir de bola de béisbol para jugar chequita en plena calle, con un palo de escoba viejo.;DICOL
checo;Árbol de hasta 15 m de altura, de madera fina, flores blancas y frutos tipo nuez que al frotarlos producen espuma.;;DICOL
cheese cake;Torta elaborada en una base de galleta a la que se adiciona queso, harina de trigo, crema de leche y diversas frutas.;Nuestros cheesecakes tradicionales se caracterizan por ser refrigerados y estar sobre una base de galleta Graham.;DICOL
cheflera;Arbusto que alcanza los 6 m de altura, de hojas palmeadas, flores amarillas a verdes, fruto carnoso que va de naranja a rojo oscuro en la madurez, muy usado como planta ornamental en interiores.;;DICOL
chela;Cerveza.;Algunas cervezas artesanales alcanzan porcentajes de alcohol de hasta el 41%, frente a los modestos índices de las “chelas” tradicionales, del 4% o el 5%.;DICOL
chencha;Referido a una persona, que camina con las piernas torcidas hacia afuera y juntando las rodillas.;Un accidente cerebral que sufrió lo tiene caminando como chencha y hablando muy mal.;DICOL
chengo;Referido a una persona o un animal, cojo.;El viejo caminaba delante mío, despacito, medio chengo, ladeándose y rozando las paredes del pasillo.;DICOL
cheo;Pez de agua dulce, de hasta 40 cm de longitud, de color amarillo claro a oscuro y con franjas de color negro que segmentan su dorso transversalmente.;Lo único que pescaron fue un cheo mas bien pequeño y con eso comimos.;DICOL
chepa;Por casualidad o buena suerte.;A las ya tradicionales preguntas de selección múltiple se le adicionan las de preguntas abiertas, con el fin de que el alumno evite respuestas por azar, de pura chepa.;DICOL
chepacorina;Galleta grande y dulce, rellena de queso y azúcar.;Las chepacorinas son esponjosas. Se sienten crocantes, entre pedacitos suavizados por el queso.;DICOL
chepazo;Momento de suerte, casualidad.;Todo estaba dado para un empate y apareció este ‘chepazo’ o como lo quieran llamar, que le permite a los ‘diablos’ regresar a la punta del torneo.;DICOL
chepito;Cobrador que visita a los deudores en su lugar de residencia o de trabajo.;Si un chepito accionaba tu timbre, sacudía tu aldabón o golpeteaba tu puerta no era para saludarte.;DICOL
chepudo;Referido a una persona, que tiene buena suerte.;¡Eres un chepudo! Siempre te ganas las rifas del colegio.;DICOL
cheque;Cheque falso porque no tiene fondos para pagarlo.;Una historia de nunca acabar, tiene manifestaciones reales a través del paquete chileno, la letra o el cheque chimbo, formas de apropiarse de lo ajeno.;DICOL
cheque;El que está respaldado por el banco emisor.;El pago del giro nacional se puede realizar en efectivo o con cheque de gerencia.;DICOL
chequear;Referido al equipaje, registrarlo para que sea llevado al avión.;Asegúrate de pesar el equipaje antes de chequearlo para que no tengas que pagar sobrepeso.;DICOL
chequear;Vigilar a alguien.;No estoy de acuerdo con que chequees a tu exnovio en el colegio. Si se da cuenta se enojará.;DICOL
chequita;Juego derivado del béisbol que se juega en las calles con tapas de gaseosa o cerveza y un palo de escoba.;Pero la chequita viene en evolución: la tapa es algo más gruesa y existe uniformidad en los equipos.;DICOL
chere;Pescado salado y secado al sol, generalmente bocachico o dentón.;Servir el chere ahumado, bañado con salsa de coco y bija, haciendo contraste con la salsa de borojó.;DICOL
cheto;Vehículo de transporte público de menor tamaño que el bus.;Hay que tomar un cheto en la esquina, ir hasta el centro de la ciudad y bajarse frente al centro comercial.;DICOL
chibugá;Árbol maderable alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza es procesada para obtener una para la elaboración de canastos.;Durante más de treinta años, se dedicó a tumbar a punta de hacha y motosierra árboles de troncos gruesos y maderas finas, como abarcos o chibugás, robles.;DICOL
chicalá;Árbol que alcanza los 20 m de altura, con copa frondosa de hojas opuestas y ovales, de cuyo tronco se extrae una madera muy fuerte usada en ebanistería;;DICOL
chicanear;Presumir de algo que no se posee.;Salgo del hogar de los muchachos y veo a unos jóvenes en un moderno carro deportivo, chicaneando, y pienso que en parte este conflicto se deriva de una sociedad cerrada, clasista e inconsciente.;DICOL
chicanero;Referido a una persona, que fanfarronea o que presume.;Entre las características infaltables del “chicanero” está la costumbre de tomarse fotos en todo sitio que visita, para dejar la evidencia y presumir más tarde de que estuvieron aquí.;DICOL
chicha;Ave entre 21 y 26 cm de largo, con cabeza grande con dos franjas blancas, de pico largo que termina en forma de gancho, pecho amarillo vivo, de grito agudo y prolongado.;Es muy común ver la chicha fría en las inmediaciones de nuestras viviendas husmeando por adquirir los residuos de alimentos.;DICOL
chichaguy;Inflamación purulenta muy dolorosa.;;DICOL
chichamaya;Baile propio de los indígenas wayuu que se baila en parejas y representa la huida del hombre frente a la presencia de la mujer a la cual se somete.;;DICOL
chicharrón;Alimento hecho con la piel del cerdo, oreada y frita.;;DICOL
chicharrón;Carne de cerdo divida en porciones con adherencia de tocino, que se frita en su propia grasa.;;DICOL
chicharrón;Fritura hecha con trozos de carne de pollo o pescado apanados.;La gastronomía de la región también incluye chicharrones y ceviche de pirarucú y jugos de frutos típicos del Amazonas.;DICOL
chicharrón;Problema de difícil solución.;¡Qué chicharrón! Quien llegue al Ministerio deberá resolver la prórroga de unos contratos que están a punto de vencerse.;DICOL
chichazo;Golpe fuerte.;"El otro día, en otro taxi, un señor le pegó por detrás al que yo ocupaba: el tipo se bajó presuroso a ver ""el chichazo"".";DICOL
chicheme;Bebida de maíz pilado, con leche, azúcar o miel que se toma fría.;"Los tres ""golpes” cotidianos en los sinuanos: los desayunos: los revoltillos, los tentempiés, los bollos, las mazamorras, el peto, chicheme y minguí.";DICOL
chichero;Relativo a la chicha.;La élite aceptó la cerveza ya que encontró en ella el elemento que hacía falta para romper con la tradición chichera.;DICOL
chichero;Persona que elabora y vende chicha.;Otro chichero, agrega que con el Festival se revive a la chicha de un estado de coma que duró 40 años.;DICOL
chichería;Establecimiento en el que se vende chicha.;;DICOL
chichería;Lugar de poco prestigio en el que se venden bebidas alcohólicas.;Juancho salió de la chichería pasadas las doce de la noche, esforzándose para que no se le notara la pea, pero le fue imposible.;DICOL
chichigua;Cantidad pequeña de algo o cosa de poco valor.;Yo me vine a vivir a este paraíso terrenal fue para demostrarle a las arpías que quieren acabarme cobrándome cualquier chichigua, que yo no me dejo de nadie.;DICOL
chichipa;Dicho de una cosa, de mala calidad.;Se vende con mentiras, muestra de esto es que inscribió su candidatura con un aval chichipa de un partido casi inexistente.;DICOL
chichipato;De poco valor.;Yo creo que ese celular era chichipato porque al mes se dañó.;DICOL
chichipato;Referido a una persona, tacaña.;¿No vas a dejar nada? No seas chichipato, deja algo de propina.;DICOL
chicho;Referido a una persona, que está muy enojada.;Estaba chicho y con razón, le cobraron el doble de lo que valía el producto.;DICOL
chichonera;Tumulto de personas en un lugar.;Fue empujada por la chichonera que se formó al subir al bus.;DICOL
chichí;Orina.;;DICOL
chichí;Pene, nombre para referirse al órgano genital de los niños.;;DICOL
chichía;Pene.;;DICOL
chicle;Persona que quiere permanecer siempre al lado de otra hasta causar incomodidad.;;DICOL
chicle;Pantalón de mujer ajustado y en un material suave.;;DICOL
chicludo;Referido a una sustancia, que tiene consistencia pegajosa, similar a la de un chicle.;La crema es un poco chicluda, pero verás cómo mejora la condición de tu cabello maltratado.;DICOL
chico;En el juego de billar, partida.;Para este maestro dedicado toda su vida a los números, la mejor fórmula para que sus alumnos no reprueben el curso es un buen chico de billar.;DICOL
chicoria;Hierba de América tropical, de hasta 60 cm de altura, hojas lanceoladas de borde dentado, flores pequeñas y blancas, y que es usada como condimento y en la medicina tradicional.;Aparte hierva el tucupi con ajo, chicoria, albahaca sal y pimienta,;DICOL
chicorio, ria;Referido a una persona, de baja estatura.;El tipo era muy buen actor, lo único es que era un poco despelucado y chicorio.;DICOL
chicote;Ritmo musical autóctono del pueblo Kankuamo de la Sierra Nevada de Santa Marta, que se toca con dos carrizos y un par de maracas.;Lo que distingue a Atanquez es el chicote, una música que no tiene nada que ver con el vallenato.;DICOL
chicote;Danza que se baila al son de ese ritmo, formando un círculo alrededor de los intérpretes.;"El chicote no es un baile popular; es un rito.";DICOL
chicote;Parte final de un cigarrillo o un cigarro, que se queda sin consumir.;Sólo bota el cigarro cuando es ya un chicote recalentado que le quema los dedos.;DICOL
chicote;Cigarrillo.;;DICOL
chicuaco;Ave de hasta 46 cm de longitud, corona negra brillante, plumaje de color café con visos púrpura, patas amarillas y fuerte pico en forma de arpón para la pesca en picada.;"Cuando el chicuaco anuncia noticias buenas dice: ti ti ti ti; pero cuando anuncia noticias malas, como la muerte de alguien, dice: chikwa… chikwa…";DICOL
chicuca;Pequeños trozos en los que se rompe un objeto.;;DICOL
chifladera;Sucesión de chiflidos.;Tan pronto salió el equipo hubo una chifladera que dejó a los jugadores atónitos.;DICOL
chiflamicas;Persona de poca cordura.;Este par de chiflamicas bogotanos se burlan de la sociedad bogotana a través de El Pote y El Petaco, dos viejos cachacos.;DICOL
chiflamicas;Músico con escasa formación, empírico.;Si los músicos de tal banda son malos, son unos chiflamicas. Pero tranquilos que los músicos que se presentan en Rock al Parque no lo son.;DICOL
chiflis;Referido a una persona, falto de juicio, loco.;;DICOL
chifloreto;Referido a una persona, falto de juicio, loco.;Además tiene herencia de chifloreta, debería consultar con un psicoanalista.;DICOL
chiflón;Corriente de aire frío que se percibe cuando pasa por un espacio estrecho.;El batismerio lo habían sellado con un muro de cemento ciego. Mejor. Cuando uno se arrimaba ahí soplaba un chiflón de eternidad, un como vientecito frío, siniestro.;DICOL
chigualo;Ceremonia fúnebre en la que se canta, juega o se cuentan historias durante el rito funerario exclusivo para niños.;En el chigualo las mujeres cantan durante toda la noche, mientras que los hombres las acompañan tocando dos tipos de tambores: el bombo y los cununos.;DICOL
chigüiro;Roedor de hasta 1,5 m de longitud, de cabeza cuadrangular, cuello corto, orejas redondeadas y ojos pequeños, que tiene el pelo color castaño.;;DICOL
chilacuán;Árbol en forma de palmera de 5 a 7 m de altura, de copa ancha y densa, hojas divididas y pecioladas, flores pequeñas de color blanco y fruto comestible.;La inclusión de los cultivos tradicionales de papa y cebolla se realizaron cuando los árboles de chilacuán tenían cinco meses.;DICOL
chilacuán;Fruto de este árbol, de forma similar a la papaya pero mucho mas pequeño, de color verde a amarillo cuando madura, su pulpa y cáscara son utilizadas en la elaboración de dulces y como medicina.;Los ceviches van acompañados de chips de plátano verde y mostaza de chilacuán.;DICOL
chilapo;Campesino mestizo que emigró procedente desde Córdoba a colonizar territorio chocoano.;Yo nací en San Pedro de Urabá, mis papás son chilapos cordobeses y yo tengo 22 años de estar acá en el Chocó.;DICOL
chilapo;Persona procedente del Urabá antioqueño, cuyos rasgos físicos y cultura es el resultado de la mezcla entre costeños del Atlántico y paisas.;Así, los chilapos han migrado a otras regiones en búsqueda de mejores condiciones de vida.;DICOL
chilapo;Persona cuyos rasgos físicos están entre lo negroide e indígena.;Ahora chilapo sirve para decir el color de una persona, porque el que no es negro ni blanco es chilapo.;DICOL
chile;Malla pequeña tejida en nylon que se usa para pescar.;Tejer chile se convierte en un arte que ha quedado entre el olvido de las tradiciones de cientos de pescadores artesanales.;DICOL
chilena;Dulce pequeño y crocante de caramelo con coco, de consistencia más dura que la melcocha.;En las corralejas los dueños de toro reparten chilena.;DICOL
chilindroso;Referido a una persona, que se viste con ropa desgastada o rota.;Parecía un limosnero de puro andrajoso y chilindroso.;DICOL
chilingueado;Agarrado o colgado de algo.;Solo un baquiano puede ser asistente de chofer de bus escalera, para cobrar los pasajes chilingueado por fuera del vehículo.;DICOL
chilinguear;Mecerse en un columpio, una hamaca o una cuna.;Es un perezoso. Se la pasa chilingueando en esa hamaca y no hace tareas.;DICOL
chilinguear;Estar en una situación de peligro o de incertidumbre.;Si queremos, podemos chilinguear todo el torneo. Con que en la última fecha quedemos en los cuadrangulares está perfecto.;DICOL
chilladera;Llanto fuerte y reiterado.;;DICOL
chilladera;Queja.;Miremos para delante y trabajemos, en vez de asustar a los posibles nuevos inversionistas con tanta chilladera.;DICOL
chillar;Llorar.;Se la pasó chillando toda la mañana porque te fuiste.;DICOL
chillar;Quejarse por algo.;De niño le hacían todo y ahora chilla por cualquier cosa.;DICOL
chimba;Bueno, espectacular;¡Tu fiesta de cumpleaños fue una chimba!;DICOL
chimba;Pene.;;DICOL
chimbada;Cosa o situación que resulta como no se esperaba, generalmente mal.;;DICOL
chimbe;Mamífero volador, pequeño, de hábitos nocturnos, que se orientan en la oscuridad.;Los muinane agarraron al chimbe y le hicieron una gran fiesta (la fiesta del murciélago) para convencerlo con alegría de que hiciera el mal que necesitaban.;DICOL
chimbilaco;Mamífero volador, pequeño, de hábitos nocturnos, que se orienta en la oscuridad.;;DICOL
chimbilá;Mamífero volador, pequeño, de hábitos nocturnos, que se orienta en la oscuridad.;;DICOL
chimbo;Que es falso o que fue hecho con engaño.;El cheque que giraron para pagar la deuda resultó chimbo.;DICOL
chimbo;Fácil, quee no requiere esfuerzo.;Arreglar ese equipo de sonido no es tan chimbo.;DICOL
chimbo;Referido a algo, maravilloso, extraordinario.;Se compró una chimba de carro.;DICOL
chimó;Jalea muy espesa de tabaco y sales minerales o vegetales con efectos psicotrópicos y que se consume como medicina o para efectos recreativos.;"""Toro loco"" recomienda a las doncellas untarse chimó antes de meterse a un charco para que no las agarre un temblador o pez eléctrico.";DICOL
china;Utensilio hecho con una pequeña estera de fibras vegetales de diversas formas, liviano y flexible, con mango o sin él y que se usa para avivar el fuego especialmente en el fogón de una estufa.;"Este mismo abanico se emplea para ventear el fogón y atizar el fuego; en algunas regiones del país a este implemento se le llama ‘china’.";DICOL
china;Planta de pasto que se arranca y se usa para marcar los cuadrados que no deben pisarse al jugar cacao (golosa) e indica el avance de cada jugador.;;DICOL
chinche;Niño fastidioso o molesto.;Piense a futuro hombre. Los chinches de hoy son los empresarios de mañana.;DICOL
chinchinchín;Lluvia sutil y constante que pasa rápidamente y de poca intensidad.;Necesito que llueva para recoger agua, pero con este chinchinchín no voy a podé.;DICOL
chinchorro;Especie de hamaca tejida en hilo fino.;Una amiga de última hora había convencido a mi madre de hacerme un petate de corroncho con un chinchorro de pita, una manta de lana y una bacinilla de emergencia.;DICOL
chinchorro;Red que se usa para pescar y que se recoge a mano desde la orilla o desde el bote.;La pesca con chinchorro es una actividad que se adelanta por arrastre, con redes de nudo, fuertes y resistentes.;DICOL
chinchurria;Plato elaborado con una parte del intestino delgado de la res, el cerdo o el cordero, que se come frita o asada.;;DICOL
chingo;Canoa pequeña de madera de poca capacidad de pasajeros y de uso recreativo.;En Nuquí, Colombia, puede encontrar varias actividades que pueden ser de su interés como: y hacer un recorrido a pie o en chingo.;DICOL
chingue;Vestido de baño tanto de hombre como de mujer.;Pero, más allá de ello, el candidato también pudo inventarse otra cosa […] bajar al muelle y bañarse con el mismo chingue que utilizó para bañarse en el río Usme.;DICOL
chinito;Nombre de una variedad del pez pargo, muy apreciado por su carne.;;DICOL
chino;Niño o persona joven.;Ahí tomé la decisión, ese chino tiene que salir muy bien, yo lo voy a tener porque no tengo nada propio.;DICOL
chino;Hijo de corta edad.;Le gustaba salir al parque a montar bicicleta con sus chinos.;DICOL
chipa;Rollo de alambre.;El alambrón es un material elaborado por siderúrgicas, el cual llega a nuestras bodegas en chipas de diferentes pesos.;DICOL
chipa;Grupo de personas muy comprometidas unas con otras para conseguir un próposito.;Los ambientalistas de la universidad son una chipa para la defensa de las aves.;DICOL
chipaca;Planta herbácea de hojas opuestas y pecioladas, flores de pétalos blancos con centro amarillo, semillas que se adhieren fácilmente a la ropa, de uso medicinal y como forraje.;El colon irritable también tiene sus cuatro recetas básicas: la caléndula, el guarango, la chipaca y el curibano.;DICOL
chipichipi;Molusco marino de color gris con manchas rojas, cuya carne es comestible.;;DICOL
chipolo;En el juego de cartas, lograr dos ases en las dos primeras cartas repartidas.;Le encantan los juegos de mesa y en las cartas tiene suerte, hizo dos chipolos la última vez.;DICOL
