"palabra","significado","ejemplo"
"carameliar","dilatar engañosamente la solución de un asunto","el gerente me caramelió para aprobarme el préstamo"
"caratoso","que padece de carate o alguna enfermedad cutánea",".] todos los adornos ostentosos, son para esas negras, casi siempre caratosas"
"caraza","desvergüenza","qué caraza la de este sujeto"
"carbonera","mina de hulla",""
"carbón","carbunco, enfermedad contagiosa del ganado",""
"carear","enfrentar dos gallos de pelea sujetándolos entre las manos",""
"carenalga","persona de cara grande",""
"carga","medida equivalente a dos bultos de peso variable",""
"cargaderas","tirantas",""
"cargado","dicho de un hombre, que tiene el pene muy grande",""
"cargado","dicho del juego de dados, alteración tramposa del peso de las caras de estos","los dados estaban cargados"
"cargado","que favorece a alguna de las partes involucradas en un litigio o competencia","el árbitro estaba cargado"
"cargador","faja o banda de cuero, cáñamo o cabuya, con lazos fuertes en sus extremos, que, pasada por el frente o el pecho y echada hacia atrás, sirve para llevar cargas sobre las espaldas","yo llevé mi chata a fiestas,/la senté en el corredor;/ mientras juí y pedí la chicha/le pusieron cargador"
"cargador","en los teléfonos celulares, implemento que restablece la batería",""
"cargar","llevarse algo abusivamente",""
"cargar","asumir los gastos de algo","le tocó cargar con la cuenta"
"cargar","alzar en brazos","la madre carga a su niño para que no llore"
"cargar con los motetes","irse de un lugar generalmente por alguna razón negativa",""
"cargazón","mercancía de clase inferior, de mala calidad",""
"cargue","acción de cargar mercancías en vehículos o semovientes","corabastos es zona de cargue y descargue"
"cariagrio","que tiene cara de enfado o de cólera",""
"caricontento","que está risueño",""
"cariduro","que persiste en un comportamiento a pesar de los reparos que se le hacen","se necesita ser muy cariduro para volver a las mismas"
"cariduro","que se comporta con desfachatez","devuélvele la plata que te prestó, no seas cariduro"
"carimañola","empanada de yuca frita, rellena de carne, huevo o pescado",""
"carioco","dicho de las gallinas o pollos, que no tienen plumas en el cuello o las patas",""
"caripelado","adolescente",""
"caripelado","persona de poca importancia",""
"carisellazo","lanzamiento de una moneda al aire para someter una decisión al azar",""
"carisello","lanzamiento de una moneda al aire para someter una decisión al azar",""
"carisina","mujer poco diestra en el desempeño de las labores domésticas",""
"caritriste","taciturno o melancólico",""
"cariucho","guiso que se prepara a base de carne de curí, ají, sal y papas",""
"cariñito","obsequio o regalo de poco valor",""
"carmelito","de color castaño o marrón",""
"carnetización","proceso de proveer de carnés a grupos de personas",""
"carraca","mandíbula del hombre o los animales",""
"carramán","vehículo viejo y deteriorado",""
"carramán","dicho de una persona, que está vieja, acabada",""
"carranchil","enfermedad cutánea caracterizada por un fuerte escozor",""
"carranchiloso","que sufre de carranchil",""
"carranchoso","áspero al tacto",""
"carranchoso","de genio receloso, hosco","me han dicho que es una vieja chuchumeca, muy carranchosa"
"carranchín","enfermedad cutánea caracterizada por un fuerte escozor",""
"carranguero","persona que interpreta música carranguera",""
"carranguero","música folclórica cundiboyacense",""
"carraquear","tener los dientes chocando unos contra otros a causa del frío, el miedo, etc","todos estábamos carraqueando de frío"
"carrasca","instrumento musical, consistente en un fragmento de caña de palma, ahuecado y abierto en la parte posterior, y en la parte anterior labrado con muescas y estrías que se raspan con un alambre, hueso o palo para que suenen",""
"carrasposo","áspero al tacto","estas toallas están carrasposas"
"carrera","en los pueblos y ciudades, vía pública que va de norte a sur",""
"carrera","de encostalados",""
"carreta","charla o escrito insubstancial",""
"carreta","cualquier tipo de discurso o tratamiento de un tema o disciplina","la carreta de los sociólogos, de los abogados, etc"
"carreta","carrete para enrollar o devanar hilos de costura",""
"carreta","carretilla para transporte de materiales",""
"carreteable","camino angosto, sin pavimentar, por el cual pueden transitar algunos vehículos",""
"carretudo","que habla mucho y sin sustancia",""
"carriel","bolso de cuero con varias divisiones, en forma de fuelle, que se lleva colgado del hombro. es típico de algunos departamentos como antioquia",""
"carrumia","mugre, especialmente de los pies",""
"cartera","bolso que usan las mujeres",""
"cartucho","planta ornamental con flores en forma cónica y hojas acorazonadas",""
"cartón","diploma","ayer me dieron el cartón"
"carón","desvergonzado, cínico",""
"casanga","matrimonio",""
"casanga","dulce que se hace con brevas, papaya verde y limones colados en almíbar o miel de caña",""
"casar","aportar la parte en una apuesta","falta alguien por casar"
"casar","dicho de apuestas o peleas, concertar, pactar","perdí la apuesta que casamos"
"cascajo","conjunto de monedas de poco valor",""
"cascar","quebrantar el maíz y desprenderle el afrecho en el pilón o en una piedra especial",""
"cascarero","persona que se alimenta de sobras o desperdicios",""
"cascarero","contrabandista en pequeño",""
"cascarero","ladrón que roba cosas de poca cuantía",""
"cascarilla","cascarrabias","no trabajo con el patrón porque es muy cascarillas"
"casera","señora de la casa",""
"casino","comedor y bar para los oficiales y suboficiales del ejército, de la policía, etc",""
"casino","soldado que en el ejército está destinado al servicio del casino","casino, preséntese al capitán"
"caspa","persona inquieta, desjuiciada","ese tipo es una caspa"
"caspa","mazorca de maíz maduro",""
"caspetudo","dicho de algunas bebidas, espeso","le quedó el masato caspetudo"
"catabra","recipiente de fibra vegetal, en forma de canasta, que se carga a la espalda",""
"catabre","recipiente de fibra vegetal, en forma de canasta, que se carga a la espalda",""
"catanga","canasta de mimbre, con tapa, que sirve para guardar comestibles, útiles de costura, etc",""
"catano","anciano, viejo","mi tío ya está muy catano"
"catire","que tiene el cabello rubio",""
"catiro","que tiene el cabello rubio",""
"catorce","favor que se le hace a alguien","colombiano es el que alguna vez ha hecho un catorce"
"caturro","dicho de una persona, de baja estatura",""
"caucho","encauchado, prenda impermeabilizada con caucho","así es que hay que conseguirle montura, zamarros y caucho"
"cayetano","indicación para que alguien guarde silencio sobre algo",""
"cayetano","que guarda silencio acerca de algo",""
"caída","tenderete, cierto juego de naipes. il darse tres ~s por algo . desvivirse por alguna cosa. il hacer ~ y mesa limpia . arrasar uno con todo. el nuevo tesorero hizo caída y mesa limpia en el presupuesto de gastos",""
"caña","mentira",""
"cañabrava","planta gramínea de hasta seis metros. de altura, de climas cálidos y medios, usada para cercas rústicas, confección de sombreros, etc",""
"cañar","decir mentiras, engañar","la verdad es que cancún era una oportunidad para probar si los países ricos estaban cañando o sus anuncios de reforma agrícola eran un sincero compromiso con el desarrollo de los más pobres"
"cañaña","fuerza, energía, valor","diego es hombre de cañaña"
"cañero","embustero, fanfarrón, farolón",""
"caño","uretra",""
"cañón","tronco de un árbol",""
"cena","comida que se ofrece en una ocasión especial, por ejemplo, la nochebuena, el año nuevo",""
"cena","comida, generalmente ligera, que se toma antes de acostarse",""
"centavear","pedir y hacer cuentas con minuciosidad hasta las últimas cantidades",""
"centavear","vender cosas de poco valor en busca de pequeñas ganancias","se la pasa vendiendo baratijas para centaviar"
"centavero","dicho de una persona, que se preocupa mucho por las minucias del dinero",""
"centaviar","vender cosas de poco valor en busca de pequeñas ganancias","se la pasa vendiendo baratijas para centaviar"
"centaviar","pedir y hacer cuentas con minuciosidad hasta las últimas cantidades",""
"cepillar","adular",""
"cepillero","que acostumbra adular a otras personas","es muy cepillera con el jefe"
"cepillo","adulación","vive echándole cepillo al suegro"
"cerco","vara de madera que se usa en carpintería y construcción de casas",""
"cerrero","dicho del café, que se toma sin dulce",""
"cerrero","dicho de una persona, inculta, brusca",""
"chacaroso","que tiene úlceras o llagas",""
"chacarón","tonto",""
"chacho","dicho de una persona, que sobresale en alguna actividad","pedro es el chacho de la empresa"
"chafarote","militar ignorante y grosero",""
"chagra","pequeña propiedad rural",""
"chagra","parcela, especialmente sembrada de maíz",""
"chaguala","cortada, generalmente en la cara o en la cabeza, producida por arma cortopunzante u otra causa",""
"chaguala","zapato viejo",""
"chagualo","zapato viejo, por lo común deformado",""
"chajuanado","dicho de una persona o animal, fatigado por el calor",""
"chalanear","jinetear",""
"chalanear","adiestrar caballos",""
"chalequear","hurtar poco dinero",""
"chalequear","ofender, molestar, incomodar con impertinencia","a ese tipo le gusta chalequear"
"chalán","buen jinete",""
"chalán","amansador de caballos de paso",""
"chamba","herida o cortadura profunda en la cabeza o en la cara",""
"chamba","empleo, trabajo",""
"chamba","zanja o vallado",""
"chambonada","trabajo imperfecto, mal hecho","ese puente que hicieron fue una chambonada"
"chambonear","trabajar torpemente y sin esmero en cualquier arte u oficio",""
"chambuque","lazada o nudo corredizo que se hace en el extremo de una cuerda para enlazar el ganado",""
"chambuque","especie de carpa elaborada rústicamente con plástico y palos","a los secuestrados los tenían en un chambuque a la orilla del río"
"chambuquear","enlazar la res arrojando el lazo sin hacerlo girar",""
"chambuquiar","enlazar la res arrojando el lazo sin hacerlo girar",""
"chambón","dicho de una persona, que realiza trabajos imperfectos, mal hechos","ese pintor es muy chambón, no lo contrates"
"chamicero","lugar donde abunda la chamiza o leña menuda",""
"champús","bebida preparada a base de maíz cocido, azúcar o panela y jugo de lulo",""
"chance","juego de azar semejante a la lotería",""
"chanchiro","andrajo","qué haremos, mi bien, qué haremos,/tan chanchirientos que estamos:/juntemos nuestros chanchiros/y un solo chanchiro hagamos"
"chancho","cerdo",""
"chanchullero","que hace cosas ilícitas para beneficio propio",""
"chancleta","calzado compuesto de suela de cuero y capellada",""
"chancletear","andar de un lado a otro en chancletas*",""
"chancletear","oprimir repetidamente el acelerador de un carro",""
"chancletear","golpear a los niños con chancleta",""
"chanda","sarna",""
"chanda","dicho de una cosa, fea, desagradable",""
"chandoso","dicho de un perro, que no es de raza",""
"chanfa","chanfaina, empleo, colocación","conseguí mi buena chanfa"
"chanfa","riña, pelea",""
"chanfaina","cierto guiso de asadura de cerdo",""
"chanfaina","empleo, colocación",""
"changonga","broma pesada, burla",""
"changua","alimento líquido que se toma generalmente al desayuno y que consiste en una mezcla de agua, leche con sal y cilantro",""
"chantar","dar un beso, un bofetón",""
"chantar","ponerse una prenda de vestir",""
"chanza pachuna","broma o chanza pesada, de mal gusto",""
"chapa","cerradura de una puerta",""
"chapa","caja de dientes",""
"chapeado","que tiene las mejillas coloradas por el sol y el frío",""
"chapola","planta del cafeto cuando tiene las dos primeras hojas",""
"chapola","mariposa",""
"chapolera","mujer que trabaja en la recolección de café",""
"chapín","que tienen los pies torcidos hacia adentro",""
"chara","sopa a base de cebada",""
"charanga","carne de mala calidad",""
"charrasca","conjunto de ramas y hojas secas de arbustos y árboles, que arde con suma facilidad",""
"charrascal","campo sin labrar, de ordinario cubierto de maleza",""
"charrera","hecho o dicho gracioso, divertido",""
"charrera","obra, adorno o acción de mal gusto",""
"charro","gracioso, bonito","qué muñequito tan charro"
"charro","dicho de una cosa, de mal gusto, aburrida","qué fiesta tan charra"
"chatas","carne del costillaje de la res",""
"chaíto","fórmula de despedida",""
"chencho","dicho de una persona, gorda",""
"chencho","cerdo",""
"chenga","pedrezuela labrada por los indios caribes y horadada en un extremo para ensartarla y formar collares",""
"chengo","dicho de una persona o animal, cojo",""
"chepito","cobrador",""
"chicanear","alardear acerca de algo","está chicaneando con su nuevo carro"
"chicanero","que gusta de alardear",""
"chicha","bebida fermentada a base de maíz o fruta",""
"chichagüí","forúnculo, nacido",""
"chicharrón","asunto difícil, enojoso","qué haría en la presidencia con el chicharrón del proceso de paz con las autodefensas"
"chichazo","golpe fuerte que se da o se recibe",""
"chiche","pene",""
"chichigua","cantidad muy pequeña de algo",""
"chichigua","persona pequeña",""
"chichigüero","ahorrativo, que atiende a pequeñeces, excesivamente meticuloso",""
"chichipato","dicho de un objeto, de poco valor, ordinario",""
"chichipato","avaro",""
"chicho","enojado, furioso",""
"chichonera","tumulto de gente",""
"chichí","pene",""
"chico","partido de billar, ajedrez, tejo u otros juegos",""
"chicuca","excremento",""
"chicuca","añicos","le volvieron chicuca el carro"
"chiflamicas","músico que participa en serenatas",""
"chiflamicas","persona de escaso juicio",""
"chifloreto","atolondrado, de comportamiento extraño","la noticia lo dejó chifloreto"
"chigualo","celebración familiar con motivo de la muerte de un niño",""
"chilangas","testículos",""
"chilinguearse","bambolearse",""
"chillar","protestar",""
"chilletas","llorón",""
"chilonguear","mecer a una persona con fuerza, cuando se encuentra en una hamaca",""
"chiltado","dicho de un objeto de loza, agrietada, resquebrajada",""
"chimba","bueno, bonito","qué chimba de casa"
"chimba","trenza",""
"chimba","vulva",""
"chimbilá","murciélago",""
"chimbilá","vulva","válgame dios de los cielos,/santísima trenidá!/que una muchacha bonita/señalaba el chimbilá"
"chimbo","dicho de un cheque, que no tiene fondos",""
"chimbo","falso o engañoso","ese regalo me resultó muy chimbo"
"chimbo","miembro viril",""
"china","utensilio para avivar el fuego",""
"chinche","dicho de un niño pequeño, travieso",""
"chinche","clavo pequeño de cabeza redonda y plana",""
"chinchoso","dicho de un trabajo difícil, complicado",""
"chingue","pantaloneta de baño que usan los hombres",""
"chingue","pequeño",""
"chino","niño o muchacho",""
"chino","hijo de corta edad",""
"chipa","rodete para mantener erguida una vasija que se lleva sobre la cabeza",""
"chipa","cesto de paja usado para recoger frutas",""
"chipa","rollo",""
"chipampa","casualidad, buena suerte",""
"chipola","mujer, compañera","taba yo ayer por la tarde,/comiendo mi mazamorra,/ cuando me cayó la nueva/qu'era muerta mi chipola"
"chipolo","manojo de cabello recogido sobre la frente","usaba chipolo, moño y monóculo"
"chiquero","basura, especialmente la que se recoge barriendo",""
"chiquero","corral en donde se encierran los terneros",""
"chircal","sitio donde se fabrican materiales de construcción u objetos diversos hechos de arcilla cocida",""
"chiribico","arácnido de tierra caliente cuya picadura produce fiebre",""
"chiribico","persona fastidiosa, incómoda",""
"chiripazo","casualidad afortunada",""
"chiro","ropa",""
"chiro","andrajo",""
"chirriado","referido a una persona o cosa, simpática, agradable","si vieras los tipos del pesebre de espina [ .] eso es lo más chirriado"
"chirrinche","aguardiente o ron fabricado artesanalmente",""
"chirrincho","aguardiente o ron fabricado artesanalmente",""
"chirringo","chiquitín","no lo vayan a matar tan chirringo"
"chisacá","planta silvestre que se emplea como forraje, muy usada en la medicina popular","la jlor de la chisacá/ sirve para hacer sudor,/pa'que se aparten los celos/y encienda más el amor"
"chisga","ganga",""
"chisgua","mochila","en el otro lau del río/parió una yegua dos potros;/ por la jalta de una chisgua/no te traje los calostros"
"chisgua","achira",""
"chismosear","curiosear",""
"chismosear","traer y llevar chismes",""
"chispazo","idea muy buena",""
"chispeadura","acción y efecto de chispearse","mi vestido tiene chispeaduras de barro"
"chispear","lloviznar","está chispeando"
"chita","orina",""
"chite","voz que se emplea para espantar a los perros",""
"chitearse","dicho de una pared o una vasija, agrietarse, resquebrajarse",""
"chiva","cabra",""
"chiva","oveja",""
"chiva","mochila grande",""
"chiva","bus popular con ciertas características como carrocería de madera, bancas de costado a costado y estribos a lo largo del vehículo",""
"chiva","noticia novedosa",""
"chivatear","delatar",""
"chivato","dicho de un niño, vivo, despierto, inaguantable","es un chivato"
"chivato","especie de ají muy picante y de tamaño pequeño","dicen que el ají chivato/pica más que la pimienta;/más pica una mala lengua/que sin saberlo lo cuenta"
"chiviado","referido al artículo, que ha sido adulterado para venderlo al público",""
"chiviar","adulterar un artículo para venderlo o para otro propósito",""
"chiviar","adelantarse un periódico a sus colegas para dar una noticia. lo callaba, no para ocultar la verdad sino para no alertar al criminal; entonces me chiviaban. (a. alape, el cadáver insepulto, 151",""
"chivo","macho de la cabra",""
"chivo","hombre lujurioso",""
"chocho","caprichoso",""
"chocholear","consentir a una persona",""
"chompa","especie de chaqueta deportiva",""
"choncho(chencho","dicho de una persona, gorda",""
"choncho(chencho","cerdo",""
"choneto","encorvado, torcido","eso queda feo, torcido y choneto, así como resulte"
"chorno","gracioso, bonito",""
"chorrearse","no devolver intencionalmente alguna cosa","el carnicero se chorreó las vueltas"
"chucear","estafar, engañar",""
"chucha","cobarde, de poco ánimo. il ser una ~ para algo . no tener aptitudes o capacidad para realizar una actividad","soy una chucha para la música"
"chucha","zarigüeya, raposa, fara",""
"chucha","vulva",""
"chucha","mal olor del sudor de las axilas",""
"chucha","axila",""
"chuchingo","cobarde, de poco ánimo, tímido","no sea chuchingo"
"chucho","instrumento musical de percusión compuesto de un tubo de madera hueco, hecho ordinariamente de guadua o de arboloco, con algunas chinas o pepitas adentro, que producen un ruido seco al agitarlo",""
"chucho","dicho de un fruto, que está arrugado y en vía de podrirse","anoche me convidaron/a comer la buena cena:/las arracachas bien chuchas/una paletilla'e yegua"
"chuchumeco","decrépito, muy viejo, encorvado. [ .] es un recorte di' hombre; un viejito chuchumeco",""
"chueco","dicho de un negocio, ilícito. la movida chueca",""
"chueco","cojo",""
"chueco","patizambo",""
"chulavita","persona de filiación conservadora",""
"chulavita","en tiempos de la época de la violencia, a mediados del siglo xx, policía o pistolero que apoyaba el régimen conservador cometiendo crímenes y atropellos",""
"chulear","señalar algo en un escrito con una marca en forma de v, que significa que se ha revisado y está bien",""
"chulear","matar","al gamín lo chulearon"
"chulear","engañar","salió chuleado en ese negocio"
"chulla","solo, único","me quedé con el chulla vestido"
"chulo","gallinazo",""
"chulo","señal o marca que se hace al margen de un escrito, comúnmente en forma de v, que indica que lo escrito se ha revisado y está bien",""
"chulpe","especie de maíz blando",""
"chumba","dicho de la yuca o la arracacha, que quedan duras después de cocidas","la yuca salió chumba"
"chumbe","ceñidor para envolver a los bebés",""
"chumbo","dicho de una res, estrecha de caderas",""
"chumbo","pavo",""
"chumero","ulceración",""
"chumero","barrizal, enterradero",""
"chunchoso","barrigón","desde que te vi venir/en ese potro chunchoso/ me dijo mi corazón:/ni pa' novio ni pa' esposo"
"chunchullo","parte del intestino de animales vacunos, porcinos y ovinos que se fríe para comer",""
"chupa","agente de la policía de tránsito",""
"chupa","implemento para destapar cañerías",""
"chupaflor","dicho de un hombre, coqueto, galanteador",""
"chupaflor","colibrí",""
"chupamedias","adulador",""
"chupar","adular","vive chupando a los políticos para conseguir puesto"
"chupar","arrepentirse, retractarse una persona de algo",""
"chupe","voz con la que se manifiesta, cordialmente, una cierta satisfacción por algo malo que le sucede a alguien","chupe por metido"
"chupo","pezón de goma elástica por medio del cual los niños toman la leche del biberón",""
"churco","viruta de madera",""
"churco","rizo del pelo","esa muchachita tiene churcos"
"churrias","diarrea",""
"churro","persona físicamente atractiva","tu prima sí es todo un churro"
"churrusco","cepillo en forma de espiral para el lavado de recipientes",""
"churrusco","dicho del pelo, muy ensortijado",""
"churrusco","cierta oruga cuyo contacto tiene efecto urticante",""
"chusco","dicho de una persona o cosa, bonita, agradable, atractiva","qué niña tan chusca"
"chusmero","miembro de un cuerpo armado irregular","qué quiere decir con eso de chusmero del gobierno? les decíamos así a aquellos civiles que sin ser soldados ni pertenecer a ningún cuerpo militar ayudaban a perseguir a los llaneros rebeldes"
"chuspa","bolsa que se emplea para empacar algo como el mercado",""
"chuspa","cartuchera","don sabas trata de sacar algo de una chuspa que lleva en la correa"
"chusque","planta gramínea de tallos duros",""
"chusque","aparato rudimentario para extraer la fibra del fique",""
"chuta","sombrero viejo",""
"chuzar","punzar, herir con cuchillo",""
"chuzar","causarse una herida con algo punzante",""
"chuzar","establecer conexión clandestina e ilegal con una línea telefónica o antena para escuchar conversaciones, pasar fraudulentamente la cuenta telefónica a otro usuario del servicio o robar una señal de televisión",""
"chuzo","almacén pequeño",""
"chuzo","estafa","el discurso resultó un chuzo"
"chuzo","cuchillo",""
"chácara","herida, cortadura profunda",""
"chácara","monedero",""
"chácara","testículo",""
"chéchere","trasto viejo o inútil","el cuarto de chécheres"
"chévere","expresión ponderativa de las cualidades de personas, cosas o situaciones","qué paseo tan chévere"
"chúcaro","bestia sin amansar",""
"chúcaro","policía bachiller",""
"chúpame las cáscaras","dicho de una persona, entrometido, adulador, chismoso","no lo querían por chúpame las cáscaras"
"cicla","bicicleta",""
"cigarrillera","estuche para llevar cigarrillos",""
"cineasta","persona aficionada al cine",""
"cipote","expresión empleada para ponderar algo","cipote vieja"
"cipotudo","dicho de una persona o cosa, que despiertan admiración",""
"citadino","propio de la ciudad",""
"claridoso","dicho de una persona, que dice la verdad con crudeza",""
"clavar el pico","dormirse",""
"clonar","repetir o trasladar partes de un documento en otro","qué va a pasar con temas que son clonados, que son similares, que son paralelos"
"coca","recipiente pequeño de forma semiesférica",""
"coca","juego que consiste en lanzar al aire una bola de madera agujerada y ensartarla con el palito atado a ella",""
"coca","coscorrón",""
"cocacolo","adolescente",""
"cocha","mezcla de sustancias sólidas y líquidas para fabricar algún producto","estamos cociendo la cocha de jabón"
"cocha","lago, laguna",""
"cocha","siesta",""
"cocha","aguardiente",""
"cochada","cantidad de miel que se trabaja en una operación para fabricar panela",""
"cochada","cantidad de hombres o de cosas","esta cochada de bachilleres salió muy buena"
"coche","voz con la cual se espanta a los cerdos",""
"cochera","lugar desordenado y sucio","qué cochera de cuarto"
"cochera","corral de cerdos",""
"cocinado","reunión infantil para preparar conjuntamente una comida",""
"cocinar","cocer un alimento en agua hirviendo u otro líquido en ebullición",""
"cocineta","implemento con una o varias hornillas que se emplea para preparar alimentos",""
"coco","hongo, tipo de sombrero de fieltro y abombado",""
"cocombro","cohombro, variedad de pepino",""
"cocorote","cabeza",""
"cocoroyó","onomatopeya que imita el canto del gallo",""
"cocorra","cabeza",""
"cocorrón","dulce de plátano verde frito con panela o de harina, coco y azúcar",""
"cocotazo","coscorrón, golpe dado en la cabeza con los nudos de los dedos",""
"cocotear","dar cocotazos",""
"cocotera","peineta arqueada para sujetar el cabello por delante a manera de diadema",""
"coger","encaminarse en una determinada dirección","la excursión cogió para el amazonas"
"cogerle el tiro","a algo",""
"cojosa","leche fermentada",""
"coleta","tela burda, empleada en la fabricación de sacos, manteles y ropa ordinaria",""
"colgandejo","cosa o trozo que cuelga de algo",""
"colgandrejo","cosa o trozo que cuelga de algo",""
"colgar","atrasarse en el pago de una deuda o en el desarrollo de una actividad",""
"colgar","conectarse clandestina e ilegalmente a una línea eléctrica, señal de televisión o similares",""
"colgar","dicho de un estudiante, ir mal en una asignatura",""
"colgar","perder fuerza un vehículo al ascender una cuesta",""
"colgar","atracar",""
"colgar los guayos","morir",""
"collarejo","miembro del partido liberal",""
"combo","conjunto de diversos comestibles listos para consumir",""
"combo","conjunto de pocas personas que actúan presentado un espectáculo musical",""
"combo","conjunto de personas identificadas con algún propósito o tarea","en repetidas ocasiones uribe y su combo se opusieron tercamente a considerar la supresión de las jugosas exenciones"
"comer","participar en un negocio ilícito",""
"comer","tener relaciones sexuales con una persona","fulano no tiene escrúpulos para comerse a su vecina"
"comida","alimento que se toma en las últimas horas de la tarde, o en las primeras de la noche",""
"comida","asunto que es objeto de comentarios despectivos","la boda de fulanita fue la comida principal de casi todos los asistentes a ese acto"
"comiso","fiambre",""
"comistraje","panecillos y otros amasijos para acompañar la merienda",""
"compraventa","establecimiento donde se presta dinero mediante el depósito de alhajas, ropas, electrodomésticos, etc",""
"concha","desfachatez, frescura, falta de vergüenza",""
"concha","corteza de los árboles o las frutas",""
"concho","la última leche que se le extrae a la vaca en cada ordeño",""
"concho","residuo de algún líquido",""
"conchudo","fresco, desvergonzado, cínico",""
"conejear","evadir el pago de una deuda o el cumplimiento de una promesa u obligación",""
"conejero","persona que acostumbra abandonar un establecimiento en donde ha recibido algún servicio sin pagar lo debido","lista de los individuos conejeros de billar"
"conejo","engaño, incumplimiento de una promesa","qué explicación le darán los firmantes del ""pacto social"" a los trabajadores colombianos? un conejo más del gobierno y los empresarios al pueblo"
"conocer el almendrón","estar enterado de las intimidades de un asunto complejo",""
"conocer el almendrón","conocer uno muy bien las artimañas de una persona avispada, lista",""
"conseguir marrano","conseguirse un buen novio",""
"conseguir marrano","hallar una persona ingenua para aprovecharse de ella",""
"consignar","depositar dinero en una cuenta bancaria",""
"consiliatura","en algunas universidades y otras instituciones, cuerpo consultivo del rector, director o presidente",""
"contabilista","persona que por oficio o profesión lleva la contabilidad de una casa comercial o empresa",""
"contrafómeque","persona o acción de esta que impide, neutraliza o supera la acción perjudicial de alguien",""
"conversón","persona locuaz, habladora y en algunos casos chismosa",""
"convite","trabajos realizados en comunidad, especialmente en agricultura y construcción",""
"copera","empleada que sirve a los clientes en bares y cafés",""
"copisolero","persona que consume a solas bebidas embriagantes",""
"corbata","puesto o empleo con buen sueldo y poco trabajo, obtenido generalmente a través de influencias","consiguió una buena corbata en una empresa importante"
"corbatudo","persona que suele usufructuar corbatas",""
"corchada","turbación que siente una persona ante una pregunta que no sabe contestar",""
"corchar","plantearle a alguien una pregunta o problema que la persona no puede resolver","los alumnos corcharon al profesor"
"coronar","culminar con éxito un propósito, lograr algo","dicen que se distanció porque no coronó su aspiración de ser ministra de comercio exterior"
"corraleja","fiesta popular, propia de la costa atlántica, en la que se lidian toros por parte de aficionados espontáneos",""
"corralero","mozo que guarda y ordeña las vacas en los corrales",""
"correrse","desistir de un negocio o empresa después de haber prometido llevarlo a cabo","el propietario se corrió de la venta"
"correrse unos vidrios","tomar unas copas de licor",""
"corroncho","tosco, ordinario",""
"corroncho","habitante de la costa atlántica",""
"corroncho","clases de peces",""
"cosa","vulva",""
"cosa","alucinógeno",""
"cosca","caparazón de algunos animales como el armadillo","la cosca del armadillo/sirve pa'miles enredos:/sirve pa'sembrar el maíz/y para guardar los güevos"
"coscongo","persona u objeto muy feo",""
"cositero","hábil para hacer cosas con cuidado y esmero","me pongo a podarle y perfilarle la mata, con estas manos mías tan mañosas y cositeras"
"cositero","que trabaja en muchas cosas, ordinariamente de poca importancia",""
"cositero","dicho de una persona, que da exagerada importancia a cosas menudas",""
"coso","cigarrillo de marihuana",""
"coso","palabra comodín para designar cualquier objeto",""
"coso","en los colegios o internados, lugar a donde van a parar objetos perdidos o los que se encuentren en desorden, y cuya devolución se hace mediante el pago de una multa",""
"coso","sitio cercado, perteneciente a la autoridad municipal, para encerrar los animales que andan sueltos o que hacen daño en las sementeras y pastos ajenos",""
"costalear","perforar un costal para robar parte del contenido",""
"costaleo","robo de café en cereza, a un trabajador, por parte de otro en la recolecta","el costaleo es muy generalizado en algunas fincas"
"costalero","ladrón de café recolectado",""
"costra","clase de pan tostado",""
"cotero","trabajador que lleva bultos y similares en puertos, mercados, etc","dijo el dueño de un camión que esperaba desde las cuatro de la madrugada, como los coteros de maicao"
"coto","bocio",""
"cotudo","tonto, simple o pasmado",""
"cotudo","que tiene coto o bocio","del cuero de una cotuda/templándolo en cuatro estacas,/salen cincuenta zurrones/y veinticinco petacas"
"coya","ramera",""
"coya","cierto tipo de araña muy venenosa",""
"coyabra","vasija doméstica, grande y abombada, que se hace con el epicarpio seco de una calabaza cortada por la mitad","la piedra de moler, en cuatro estacas/aseguran muy bien en otras cuatro,/ una cuyabra aparadora ponen,/y a su lado, con agua, un calabazo"
"coñazo","puñetazo",""
"creerse la mama de dios","sentirse superior a los demás en alguna cosa",""
"crem","clase alta de la sociedad","para poder una defenderse de estas caimanas de la crem"
"crespo","viruta",""
"crispeta","golosina preparada con granos de maíz pira y panela, que al tostarse se abre en forma de flor",""
"cuadrado","corpulento","mi taita izque fue un mulato muy zarco y muy cuadrao,"
"cuan","cuerda o soga de esparto",""
"cuarto","amigo o compañero",""
"cuarto","simpático, accesible, divertido","es una vergüenza que tantas muchachas tan cuartas no tengan una parranda de novios en la esquina"
"cuarto","persona que propicia alguna situación","no las viste, qué tan cuartas"
"cuatro","guitarrilla de cuatro cuerdas, típica de los llanos orientales","viene luego el cuatro llamado así de las solas cuatro cuerdas que lleva"
"cuba","el hijo o la hija menor de la familia",""
"cubiletero","politiquero hábil en fraudes y componendas electorales",""
"cubiletero","intrigante",""
"cuca","joroba",""
"cuca","vulva",""
"cuca","excremento de los niños",""
"cuca","galleta delgada de color oscuro, hecha de miel de caña, huevos, harina y levadura",""
"cucarachero","lugar donde hay muchas cucarachas",""
"cucarachero","avecilla de canto muy hermoso que se alimenta preferiblemente de cucarachas",""
"cucarachero","abundancia de cucarachas",""
"cucaracho","parlanchín",""
"cucaracho","que tiene el rostro picado de viruelas","el cucaracho gutiérrez"
"cucarrearse","volverse negro el café por exceso de tostado","este café se cucarrió"
