palabra;significado;ejemplo;fuente
chilingueado;Agarrado o colgado de algo.;Solo un baquiano puede ser asistente de chofer de bus escalera, para cobrar los pasajes chilingueado por fuera del vehículo.;AcademiaColombianaLengua
chilinguear;Mecerse en un columpio, una hamaca o una cuna.;Es un perezoso. Se la pasa chilingueando en esa hamaca y no hace tareas.;AcademiaColombianaLengua
chilladera;Llanto fuerte y reiterado.;Ejemplo no encontrado.;AcademiaColombianaLengua
chillar;Llorar.;Se la pasó chillando toda la mañana porque te fuiste.;AcademiaColombianaLengua
chiltarse;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiltiado;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chimba;Bueno, espectacular;¡Tu fiesta de cumpleaños fue una chimba!;AcademiaColombianaLengua
chimbada;Cosa o situación que resulta como no se esperaba, generalmente mal.;Ejemplo no encontrado.;AcademiaColombianaLengua
chimbe;Mamífero volador, pequeño, de hábitos nocturnos, que se orientan en la oscuridad.;Los muinane agarraron al chimbe y le hicieron una gran fiesta (la fiesta del murciélago) para convencerlo con alegría de que hiciera el mal que necesitaban.;AcademiaColombianaLengua
chimbilaco;Mamífero volador, pequeño, de hábitos nocturnos, que se orienta en la oscuridad.;Ejemplo no encontrado.;AcademiaColombianaLengua
chimbilá;Mamífero volador, pequeño, de hábitos nocturnos, que se orienta en la oscuridad.;Ejemplo no encontrado.;AcademiaColombianaLengua
chimbo;Que es falso o que fue hecho con engaño.;El cheque que giraron para pagar la deuda resultó chimbo.;AcademiaColombianaLengua
chimó;Jalea muy espesa de tabaco y sales minerales o vegetales con efectos psicotrópicos y que se consume como medicina o para efectos recreativos.;"""Toro loco"" recomienda a las doncellas untarse chimó antes de meterse a un charco para que no las agarre un temblador o pez eléctrico.";AcademiaColombianaLengua
china;Utensilio hecho con una pequeña estera de fibras vegetales de diversas formas, liviano y flexible, con mango o sin él y que se usa para avivar el fuego especialmente en el fogón de una estufa.;"Este mismo abanico se emplea para ventear el fogón y atizar el fuego; en algunas regiones del país a este implemento se le llama ‘china’.";AcademiaColombianaLengua
chinche;Niño fastidioso o molesto.;Piense a futuro hombre. Los chinches de hoy son los empresarios de mañana.;AcademiaColombianaLengua
chinchinchín;Lluvia sutil y constante que pasa rápidamente y de poca intensidad.;Necesito que llueva para recoger agua, pero con este chinchinchín no voy a podé.;AcademiaColombianaLengua
chinchirimico;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chinchorro;Especie de hamaca tejida en hilo fino.;Una amiga de última hora había convencido a mi madre de hacerme un petate de corroncho con un chinchorro de pita, una manta de lana y una bacinilla de emergencia.;AcademiaColombianaLengua
chinchurria;Plato elaborado con una parte del intestino delgado de la res, el cerdo o el cordero, que se come frita o asada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chingo;Canoa pequeña de madera de poca capacidad de pasajeros y de uso recreativo.;En Nuquí, Colombia, puede encontrar varias actividades que pueden ser de su interés como: y hacer un recorrido a pie o en chingo.;AcademiaColombianaLengua
chingue;Vestido de baño tanto de hombre como de mujer.;Pero, más allá de ello, el candidato también pudo inventarse otra cosa […] bajar al muelle y bañarse con el mismo chingue que utilizó para bañarse en el río Usme.;AcademiaColombianaLengua
chinito;Nombre de una variedad del pez pargo, muy apreciado por su carne.;Ejemplo no encontrado.;AcademiaColombianaLengua
chino;Niño o persona joven.;Ahí tomé la decisión, ese chino tiene que salir muy bien, yo lo voy a tener porque no tengo nada propio.;AcademiaColombianaLengua
chipa;Rollo de alambre.;El alambrón es un material elaborado por siderúrgicas, el cual llega a nuestras bodegas en chipas de diferentes pesos.;AcademiaColombianaLengua
chipaca;Planta herbácea de hojas opuestas y pecioladas, flores de pétalos blancos con centro amarillo, semillas que se adhieren fácilmente a la ropa, de uso medicinal y como forraje.;El colon irritable también tiene sus cuatro recetas básicas: la caléndula, el guarango, la chipaca y el curibano.;AcademiaColombianaLengua
chipichipi;Molusco marino de color gris con manchas rojas, cuya carne es comestible.;Ejemplo no encontrado.;AcademiaColombianaLengua
chipolo;En el juego de cartas, lograr dos ases en las dos primeras cartas repartidas.;Le encantan los juegos de mesa y en las cartas tiene suerte, hizo dos chipolos la última vez.;AcademiaColombianaLengua
chiporro;En las labores de la pesca, referido a una persona, principiante.;Juan nunca va poder conseguir trabajo por chiporro, porque no ha querido aprender a trabajar con el papá.;AcademiaColombianaLengua
chiquero;Lugar lleno de basura.;El centro comercial de la 19 está convertido en un chiquero.;AcademiaColombianaLengua
chiquito;Referido a una persona, de poca edad.;Desde chiquito sus hermanas podían notar si tenía miedo fijándose en ese punto de su cuello.;AcademiaColombianaLengua
chiraco;Árbol que alcanza los 20 m de altura, de hojas compuestas alternas, de flores blancas y semillas esféricas de color crema, su látex y emanaciones son tóxicas, su madera es durable apropiada para ebanistería.;Quien es picado por el Chiraco desarrolla ronchas, que pican mucho, […] y a medida que el individuo se rasca, estas se riegan a otros lugares que no estaban infectados.;AcademiaColombianaLengua
chirario;Variedad de plátano pequeña y dulce.;Anganoy ofrece cada domingo: piña entera o pelada, melón, guaba, chirario, guayaba, aguacate, plátano verde y amarillo.;AcademiaColombianaLengua
chiras;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chircal;Lugar donde se fabrican ladrillos, tejas y diversos objetos de arcilla cocida.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiribico;Niño varón de corta edad.;¡Cómo ha crecido este chiribico! La última vez que lo vi, usaba pañales y míralo, montando bicicleta.;AcademiaColombianaLengua
chirimiar;Lloviznar suave y constante.;Ejemplo no encontrado.;AcademiaColombianaLengua
chirimía;Música popular típica de la costa pacífica colombiana.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiripazo;Logro que se obtiene de manera fortuita.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiripiado;En la industria marroquinera, técnica usada para decorar la pieza de cuero con diferentes figuras angulares o circulares.;El chiripiado queda bien en cuero negro y café.;AcademiaColombianaLengua
chiripiador;En la industria de la marroquineria, instrumento de acero, cuyo tamaño va numerado del uno al ocho, el ángulo de corte es recto, usado para decoración del calzado.;En las maquinas corrientes de costura, cuando no hay la perforadora, los chiripadores se colocan igual que una aguja.;AcademiaColombianaLengua
chiripiar;Lloviznar.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiripiolca;Rabieta o demostración exagerada de contrariedad.;Le tocó dejar la chiripiorca e ir a hablar con el jefe para que lo excusara.;AcademiaColombianaLengua
chiripiorca;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiripudo;Referido a una persona, que tiene buena suerte.;"El sábado nació otro ricachón incógnito. El que se ganó la lotería; un chiripudo quien, por un golpe de suerte, quedó dueño de 117 mil millones de pesos.";AcademiaColombianaLengua
chirlobirlo;Ave de tamaño mediano, que tiene el dorso principalmente de color castaño con rayas negras, y la garganta y el pecho amarillos.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiro;Pedazo de tela generalmente de una prenda vieja que se usa para limpiar.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiroso;Referido a una persona, que se viste con ropa desgastada o rota.;Después de un tiempo de estar viviendo por fuera de su casa se le veía flaco, pálido y chiroso.;AcademiaColombianaLengua
chirriadera;Ruido que produce el roce de dos cosas.;Mi moto tiene un problemita: a toda hora suenan las pastillas. Es una chirriadera muy cansona que se corrige pulsando un poquito el freno delantero.;AcademiaColombianaLengua
chirriado;Referido a una persona, agradable y amable.;"Es una persona seria, preparada y con una amplia trayectoria profesional; como dirían los cachacos es un tipo “chirriado” y decente.";AcademiaColombianaLengua
chirrinche;Bebida que se elabora con la caña de azúcar y que se consume diariamente como refresco.;Una vez realizada la siembra el indígena se acuesta en su chinchorro a conversar con sus parientes y compadres, a bailar la danza indígena y a tomar chirrinche por las tardes.;AcademiaColombianaLengua
chirrinchi;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chirriquitico;Muy pequeño.;"Allá en la loma vemos bajar al trote al sute; al hijo más chirriquitico que sale a nuestro encuentro.";AcademiaColombianaLengua
chisa;Larva de insecto de hasta 7 cm de longitud, gruesa y de color blanco, con la cabeza café.;Ejemplo no encontrado.;AcademiaColombianaLengua
chisacá;Hierba de hasta 60 cm de altura, de tallos rojizos, hojas opuestas y flores de color amarillo, tiene usos medicinales y es propia de los climas medios y fríos.;"Además del cilantro es una excelente idea agregar a las sopas ""guascas"" o ""chisacá"" una hierba que crece en climas medios.";AcademiaColombianaLengua
chisga;Compra que se hace por un valor menor al del mercado regular.;"""Es posible que se hayan ganado un remate o, en términos bogotanos, que se hubiera tratado de una 'chisga'"".";AcademiaColombianaLengua
chisguete;Chorro de un líquido que sale con fuerza y salpica una superficie.;"Gran parte de los adoquines están levantados o sueltos; es un peligro andar por ahí, cuando llueve es peor, pues al pisar el adoquín salta un chisguete al cuerpo del caminante.";AcademiaColombianaLengua
chisguetear;Saltar un líquido sobre algo o alguien.;De la raíz de una vieja guadua saltó una rana al arroyo y chisgueteó mi mejilla izquierda.;AcademiaColombianaLengua
chismes;Loza, utensilios de cocina.;Ejemplo no encontrado.;AcademiaColombianaLengua
chismosear;Conversar contando chismes o curioseando.;En el callejón discutíamos sobre la ropa que íbamos a llevar, chismoseábamos sobre la gente que pensaba asistir, hablábamos de las canciones que iban a sonar.;AcademiaColombianaLengua
chismosería;Actividad que consiste en contar chismes.;Ejemplo no encontrado.;AcademiaColombianaLengua
chismoso;Referido a una persona, que delata o acusa a otra.;Se ganó el título de chismoso del salón por contarle a la profesora todo lo que hacíamos cuando ella no estaba.;AcademiaColombianaLengua
chispa;Habilidad para hacer apuntes graciosos e ingeniosos.;Era una mujer encantadora, con mucho carácter y una estupenda chispa para contar historias.;AcademiaColombianaLengua
chispazo;Hecho o dicho original y brillante.;Cuando tenemos que resolver un problema necesitamos un chispazo que nos puede requerir tiempo y esfuerzo.;AcademiaColombianaLengua
chispero;Conjunto de chispas que salpican sobre una superficie.;Como había agitado la gaseosa, cuando abrió la botella quedó un chispero sobre la mesa.;AcademiaColombianaLengua
chispiar;Saltar un líquido sobre algo o alguien.;Un transmilenio me chispió, yo con mucha rabia conté hasta 10: 1, 2, 3, 5, 7, 24, 12, ¡10!;AcademiaColombianaLengua
chisporrotiar;Referido a un alimento que se fríe en aceite muy caliente, seguir escurriendo o sonando chispas al sacarlo.;Cuando la tocineta esté frita viértala, todavía chisporroteando, con su grasa, sobre la ensalada y sirva enseguida.;AcademiaColombianaLengua
chispotear;Saltar un líquido sobre algo o alguien.;Ponte el delantal para que el aceite no te chispotee la ropa.;AcademiaColombianaLengua
chispón;Referido a una persona, ligeramente embriagada.;Fue muy gracioso verlo al final de la noche, que entre chispón y caído de la perra se preguntaba por qué entre menos tomaba, más se emborrachaba.;AcademiaColombianaLengua
chiste;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chistear;Hacer chistes o bromear.;Aseguran que alegra a cualquiera por su capacidad de tomar del pelo y chistear.;AcademiaColombianaLengua
chita;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chitearse;Quebrarse o agrietarse una cosa.;No supimos quien tiró la piedra que chiteó el vidrio del carro.;AcademiaColombianaLengua
chitiado;Referido a un objeto o superficie, que tiene grietas o hendiduras por acción de un golpe, por uso, por reacciones químicas o físicas.;El bloque del motor está chitiado, lo que trajo como consecuencia que le entra agua al aceite y obviamente queda varado.;AcademiaColombianaLengua
chitos;Aperitivo ligero, salado y crujiente, en forma de medialuna pequeña.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiva;Transporte público rural, similar a un bus pero con carrocería de madera, bancas de costado a costado y estribos a lo largo del vehículo.;La chiva partió a las 3 de la tarde con exceso de pasajeros, varios de ellos sobre el techo del vehículo.;AcademiaColombianaLengua
chivatear;Delatar a alguien.;Todos desconfiaban de él, pues decían que era capaz de chivatear hasta a su propia familia.;AcademiaColombianaLengua
chivato;Referido a un niño, que es vivaz y travieso.;Abrió la puerta como pudo y entró corriendo a buscar a su hijo. ¡Jacinto, Jacinto! ¿dónde andará ese chivato?;AcademiaColombianaLengua
chiveado;Referido a una cosa, que es falsificada o imitación.;Según el periódico de ayer, creció el flagelo de los celulares 'chiviados' en ciertas ciudades del país.;AcademiaColombianaLengua
chivear;Falsificar o adulterar mercancía para ponerla a la venta.;Fue sentenciado un delincuente que se dedicaba a chiviar todos los licores para posteriormente distribuirlos en las localidades del sur.;AcademiaColombianaLengua
chivera;Barba que sale en el mentón.;Era varios centímetros más bajito que ella, flaco, con cejas tupidas y una chivera entrecana que resaltaba el tono oliva de la cara.;AcademiaColombianaLengua
chiverudo;Hombre que tiene chivera.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiviado;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chiviar;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chivo,;Referido a un hombre, infiel.;No le pares bola, porque ese tipo es muy chivo.;AcademiaColombianaLengua
chivé;Bebida refrescante de sabor ligeramente amargo, que se hace con harina de yuca brava desleída en agua fría.;Como es tan fácil de preparar, el chivé es el gran refresco de la selva.;AcademiaColombianaLengua
chiyón;Plátano desabrido y pequeño.;Páseme un par de chiyones para hacer el almuerzo que cocinados con la carne cogen un sabor delicioso.;AcademiaColombianaLengua
chiza;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
choca;Reunión de amigos y vecinos entre los indígenas y campesinos que realizan trabajos y actividades diversas en beneficio de la comunidad.;María vení, vamo a empezá la choca / que el sábalo viene como a la loca/ andá, corré, decile a Clodomiro/ que el sábalo, viene del río Biro.;AcademiaColombianaLengua
chocado;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chocante;Referido a una persona o una situación, desagradable e incómoda.;Me parece que tu jefe es muy chocante cuando hace ese gesto de desprecio a sus empleados.;AcademiaColombianaLengua
chocar;Producir rechazo o molestia algo o alguien a una persona.;Me choca tremendamente cuando me dices mentiras.;AcademiaColombianaLengua
chocato;Calzado artesanal en forma de sandalia hecha de lona y suela de cabuya o goma.;Vestía enaguas negras, blusa blanca y un sombrero de jipa que le hacía juego con los chocatos amarrados al tobillo con una cinta negra terminada en moño.;AcademiaColombianaLengua
chocha;Referido a una persona, sin gusto por la moda y poco culta.;Sus amigos no quieren reunirse con él porque es un chocha que poco sabe del mundo.;AcademiaColombianaLengua
chochal;Prostíbulo de baja categoría.;Ejemplo no encontrado.;AcademiaColombianaLengua
chochera;Bolsa pequeña en cuyo interior se lleva generalmente monedas.;Las mujeres siempre llevan consigo una chochera.;AcademiaColombianaLengua
chocho;Referido a una persona, que se enoja por cualquier causa pequeña.;No le des motivos a tu abuelo para que te regañe. Ya sabes que está chocho.;AcademiaColombianaLengua
chocholear;Consentir o mimar a alguien.;Por encima de los temores está la certeza de que la vida no se equivocó al escogerlos para ser padres en una edad en la que la mayoría se dedica a 'chocholear' los nietos.;AcademiaColombianaLengua
chochora;Lagarto terrestre y semiacuático que se mimetiza, de aproximadamente 60 cm de largo y con una cresta semicircular.;Arriba de un árbol hay una chochora que movió una rama.;AcademiaColombianaLengua
choclo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chocolatera;Olla, generalmente de aluminio, usada para preparar el chocolate.;Ejemplo no encontrado.;AcademiaColombianaLengua
chocolear;Entristecerse y lloriquear.;La película mejicana “Cuando los hijos se van”, hacía llorar a casi todas las señoras y 'chocolear' a más de un varón.;AcademiaColombianaLengua
chocorear;Lavar la loza.;La señora no puede atenderle porque está adentro chocoreando.;AcademiaColombianaLengua
chocorejo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chocosuela;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chocozuela;Rodilla.;Cuando la molestia es persistente, probablemente usted está en la lista de los pacientes que tienen un problema serio de alineamiento de la chocozuela con el fémur.;AcademiaColombianaLengua
chofer;Persona que conduce un vehículo.;En medio de la música, entra una cantidad de gente: el chofer de un taxi intermunicipal, un joven y una señora muy elegante.;AcademiaColombianaLengua
choferear;Manejar un vehículo.;Siempre le ha gustado choferear, siempre hacía todas las diligencias sin importar el sitio donde fueran.;AcademiaColombianaLengua
choferiar;Posición sexual en la que la mujer va por encima del hombre que está acostado.;Ejemplo no encontrado.;AcademiaColombianaLengua
chola;Sandalia.;El carro se detiene y un chico moreno, de 1,60 metros de estatura, con gorra y cholas, dientes torcidos y con leve tartamudeo se me acerca.;AcademiaColombianaLengua
cholado;Bebida refrescante hecha de hielo raspado, con fruta, leche condensada y saborizantes frutales.;Los he visto sonrientes comiendo sancocho de pescado frente a la galería, probando cholado frente al coliseo de hockey, bailando en la Plazoleta Jairo Varela.;AcademiaColombianaLengua
cholao;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
cholula;Bebida hecha con leche y la variedad de plátano pequeño (chirario o bocadillo).;Caquetá y Putumayo comparten con ellos su cholula.;AcademiaColombianaLengua
chompa;Tipo de chaqueta deportiva, corta, que se ajusta a la cintura y generalmente lleva cremallera.;Permanece inmóvil mirando su propio rostro […] sus gafas de sol con marco niquelado, la caja de zapatos bajo el brazo, su chompa de la Fuerza Aérea y su mirada triste.;AcademiaColombianaLengua
chompi;Oportunidad que se le da a alguien para hacer algo.;Déme un chompi en su computador para revisar mi correo.;AcademiaColombianaLengua
chona;Recorrido corto que se hace en cualquier tipo de vehículo.;Compré un carro y me di una chona por el barrio para chicanear.;AcademiaColombianaLengua
choncho;Referido a una persona, gorda y de estatura baja.;Ejemplo no encontrado.;AcademiaColombianaLengua
choneto;Referido a una cosa, encorvada o torcida.;Era una casa vieja, con unas vigas chonetas que había que cambiar.;AcademiaColombianaLengua
chongo;Lugar donde se ejerce la prostitución.;En los chongos, las negociaciones entre prostitutas de oficio y clientes pasaban por la aprobación de los administradores.;AcademiaColombianaLengua
chonta;Palma de hasta 7 m de altura, con tallo cubierto de fuertes espinas, hojas pecioladas, flores en espigas y frutos comestibles en racimos.;Los pueblos indígenas han usado profusamente la madera de chonta en la fabricación de flechas, arcos, dardos y cuchillos.;AcademiaColombianaLengua
chontaduro;Palma de hasta 7 m de altura, con tallo cubierto de fuertes espinas, hojas pecioladas, flores en espigas y frutos comestibles en racimos.;Ejemplo no encontrado.;AcademiaColombianaLengua
chontear;Intimidar y perseguir a alguien, amedrentar.;"Los destrozos de nuestros ""hinchas"" en la Arenosa fueron grandes y los ""chontearon"" como ellos mismos dicen.";AcademiaColombianaLengua
chontiado;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chontudo;Referido al cabello, muy ensortijado.;No le alise el pelo a la niña, déjela con su chontudo que bien bonito le queda.;AcademiaColombianaLengua
chorear;Robar.;El municipio está quebrado desde hace más de 10 años. Nos están cobrando todo lo que se chorearon los 3 alcaldes anteriores y lo que se piensa chorear este.;AcademiaColombianaLengua
choripan;Comida rápida hecha de pan y chorizo con diferentes salsas.;Ese restaurante ofrece su choripán tradicional: 100% artesanal, chorizo de carne de cerdo y la exclusiva receta de chimichurri.;AcademiaColombianaLengua
choriperro;Comida rápida hecha de pan y chorizo con diferentes salsas.;Un chef decidió darle la vuelta a ese concepto y convertir este icónico producto gastronómico [el chorizo] en un choriperro al mejor estilo gourmet.;AcademiaColombianaLengua
chorizo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
choro;Ladrón.;Ejemplo no encontrado.;AcademiaColombianaLengua
chorola;Ave pequeña de corto vuelo, corredora, de plumaje marrón gisáceo, muy apreciada por su canto y su carne.;Hacia las partes bajas de San Francisco y La Vega se observan especies [de aves] como la chorola, el hormiguero, el tiranuelo, la güicha y el cucarachero ruiseñor.;AcademiaColombianaLengua
chorote;Vasija en barro cocido en forma de ánfora.;“Yo simplemente froté un chorote, no la lámpara de Aladino pero sí un chorote raquireño, y del chorote salieron los cantos de mis mayores,;AcademiaColombianaLengua
choroto;Referido a una cosa o una actividad, que se hace sin cuidado y sin prestar atención a los detalles.;No quiso contratar a un experto y la pintada de la casa le quedó toda chorota.;AcademiaColombianaLengua
chorreada;Mancha que deja un líquido al caer en forma de chorro sobre una superficie.;Mientras pintaban se pusieron a jugar. Luego se dieron cuenta que había unas chorreadas de pintura en la pared.;AcademiaColombianaLengua
chorreado;Referido a una cosa, que ha sido manchada por el chorro de un líquido.;Cámbiate esa camiseta chorreada de salsas que te ves sucio.;AcademiaColombianaLengua
chorrera;Gran cantidad de personas, cosas materiales o inmateriales.;Es curioso, nunca recuerdo a Mamá dando grandes discursos, ni diciendo cosas importantísimas. Lo que me queda de ella son esas y una chorrera de dichos interminable.;AcademiaColombianaLengua
chorro;Pequeña caída de un caudal de agua.;Ejemplo no encontrado.;AcademiaColombianaLengua
choto;Fácil, que no requiere esfuerzo.;Que a los empresarios haya que preguntarles cuál es su afinidad política es bastante choto.;AcademiaColombianaLengua
chucha;Referido a una persona, cobarde.;No seas tan chucha y métete al río.;AcademiaColombianaLengua
chucho;Instrumento musical de percusión construido con un tubo de guadua y semillas secas o piedritas.;El chucho es otro instrumento autófono encontrado en el Altiplano desde los antiguos chibchas, quienes los utilizaban en sentido mágico religioso.;AcademiaColombianaLengua
chuchuguasa;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chuchuguaza;Árbol de hasta 25 m altura y 60 cm de diámetro, tronco erecto y bien ramificado, hojas perennes y acorazonadas, corteza de color amarillo a rojizo y utilizada con fines medicinales.;Allí en una cabaña encontramos a un curandero que nos contó las bondades de la Chuchuguaza, una planta medicinal que sirve para las lesiones en las articulaciones y para las inflamaciones.;AcademiaColombianaLengua
chuchumeco;Referido a una persona, envejecida que padece achaques.;Aunque lo que sí creo que a uno la afecta mucho es eso de pensar que se va a llegar a la vejez todo solito así, chuchumeco y todo, pero solito.;AcademiaColombianaLengua
chucuchucu;Música popular con ritmos tropicales.;El chucuchucu tal vez debe su nombre al sonido que hace el güiro en el primer plano en los ritmos como la cumbia y el vallenato colombianos.;AcademiaColombianaLengua
chucula;Bebida caliente elaborada con harina de maíz y otros cereales, mezclada con cacao tostado, panela, canela y otras especias.;Ejemplo no encontrado.;AcademiaColombianaLengua
chueco;Referido a una cosa, torcida o que no es recta.;"Si a una le gustaba, la otra aparecía para decir: ""¿Cómo, estás loca?, ¿no le has visto esos dientes todos chuecos?";AcademiaColombianaLengua
chugua;Planta herbácea de hasta 50 cm de altura, de tallos cortos y compactos, hojas acorazonadas y flores amarillas, que se cultiva en las zonas frías de la región andina.;Ejemplo no encontrado.;AcademiaColombianaLengua
chulavita;En la época de la Violencia colombiana, policía de filiación conservadora, que se caracterizaba por cometer graves abusos y atropellos.;Se fue desatando la persecución a toda esa gente. […] echaron a enviar patrullas, ya fue el Ejército, antes era la policía chulavita, llevándose a la gente presa.;AcademiaColombianaLengua
chulo;Ave carroñera de tamaño mediano, plumaje negro y cabeza y cuello negros, desprovistos de plumas.;Ejemplo no encontrado.;AcademiaColombianaLengua
chumado;Referido a una persona, borracha.;Abra la puerta señora, sírvame un canelacito, deme unito, deme otrito hasta quedar chumadito.;AcademiaColombianaLengua
chumarse;Embriagarse.;Todos contaban que en días de carnaval hasta los policías se chumaron.;AcademiaColombianaLengua
chumbar;Inmovilizar con vendas el cuerpo de un bebé para inducirle al sueño o limitar el movimiento de las piernas para fortalecerlas.;Se los chumbaba fuertemente para que estuvieran calmados y durmieran el mayor tiempo posible.;AcademiaColombianaLengua
chumbe;Faja ancha y vistosa, tejida con diversos tipos de fibras de colores y que se usa principalmente para ajustarse la ropa o protegerse el vientre.;Los ancestros eran muy cuidadosos y ellos construían la historia en los chumbes para no perder la memoria.;AcademiaColombianaLengua
chumbimba;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chumbo;Pavo.;Inclusive algunas personas han empezado a asegurar que allí han visto a la vieja o la viuda, en forma de pavo o chumbo.;AcademiaColombianaLengua
chumbo, ba;Referido a una persona, que tiene glúteos aplanados.;Ese Juan es chumbo, chumbo. No tiene ni para darle una nalgada.;AcademiaColombianaLengua
chunchullo;Plato elaborado con una parte del intestino delgado de la res, el cerdo o el cordero, que se come frita o asada.;Ejemplo no encontrado.;AcademiaColombianaLengua
chunchurria;Referido a algo o a alguien, despreciable, de malas costumbres.;¡Ni se te ocurra volver por aquí, chunchurria!;AcademiaColombianaLengua
chundul;Herbácea que alcanza hasta los 40 cm, de hojas alargadas que nacen en la parte superior del tallo formando una especie de sombrilla, el tallo se usa como pincel.;Vamos a arrancar unos chondules para pintar piedritas.;AcademiaColombianaLengua
chundú;Sustancia preparada con la mezcla de diversos ingredientes y con la que por medio de un hechizo se pretende adquirir una habilidad o potencia, especialmente atraer sexualmente a otra persona.;El que cree que al aplicarse un chundú las mujeres se le tiran encima está en un error: hay que seguir muchas de las reglas de un enamoramiento formal.;AcademiaColombianaLengua
chupa;Policía de tránsito.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupadera;Consumo prolongado, frecuente y en exceso de bebidas alcohólicas.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupaflor;Nombre común para varias especies de colibrí, pájaro muy pequeño, de plumaje de colores muy vivos, capaz de mantenerse suspendido en el aire mientras vuela, con el pico muy largo y delgado que puede introducir en las flores.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupalina;Serie de besos apasionados.;Definitivamente la regla de oro del beso es, no besar en público: no hay nada más desagradable e incorrecto que una 'chupalina' en medio de un paseo.;AcademiaColombianaLengua
chupamedias;Referido a una persona, aduladora y servil generalmente en relación con sus superiores.;Si no quieres que te digan chupamedias deja de traerle regalos a la jefe.;AcademiaColombianaLengua
chupar;Ingerir bebidas alcohólicas de forma habitual.;Es que ese pelado anda con la cabeza caliente. Anoche vino envenenado, después de que usted se fue a chupar trago al billar.;AcademiaColombianaLengua
chupe;Guisado elaborado con papas en caldo, carne o pescado, mariscos, huevos, tomates y ají.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupetear;Besar a alguien repetidamente.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupetón;Marca que deja una succión apasionada, especialmente en el cuello.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupo;Objeto de goma en forma de pezón con un agujero y una base de plástico, que se le da a los niños pequeños para entretenerlos.;Ejemplo no encontrado.;AcademiaColombianaLengua
chupundún;Se usa para imitar el sonido de un objeto o una persona cuando se sumerge en el agua.;Se tiró a la piscina y chupundún se hundió de una.;AcademiaColombianaLengua
chupón;Marca que deja una succión apasionada, especialmente en el cuello.;Ejemplo no encontrado.;AcademiaColombianaLengua
chuquio;Lodazal formado por la mezcla de tierra y agua lluvia.;"Este ‘chuquio’ permanece todo el tiempo lleno de agua; cuando llueve se crece y se nos mete a la casa.";AcademiaColombianaLengua
churco;Referido al cabello, rizado o ensortijado.;Soy alto, delgado, trigueño, con cabello churco y muy divertido.;AcademiaColombianaLengua
churo;Mechón de pelo crespo con forma de espiral.;Hay varios métodos para lograr que el pelo, crespo, ondulado, rizado o con churos, se vea espléndido y recupere su aire.;AcademiaColombianaLengua
churretearse;Retractarse de un negocio o algo que ya se había pactado.;Después de todo se churreteó, dijo que ya no iba a la fiesta.;AcademiaColombianaLengua
churrias;Diarrea.;Ejemplo no encontrado.;AcademiaColombianaLengua
churro;Referido a una persona, bien parecida, atractiva físicamente.;"En razón a que Martín es un hombre muy apuesto y que Daniela es considerada como ""la churra"" de la universidad, el impacto que produjo la pareja en la temporada fue automático.";AcademiaColombianaLengua
churruscar;Ensortijarse el cabello.;Ejemplo no encontrado.;AcademiaColombianaLengua
churrusco;Larva de mariposa que tiene una especie de pelo oscuro y erizado que al contacto tiene un efecto urticante.;Ejemplo no encontrado.;AcademiaColombianaLengua
